reg_class,target_gene,is_ISG
Demoted control,ABCA7,False
Demoted control,ABTB2,False
Demoted control,ACP6,False
Demoted control,ADA2,False
Demoted control,ADGRG5,False
Demoted control,AIM2,False
Demoted control,ALDH5A1,False
Demoted control,ARHGEF12,False
Demoted control,ATF3,False
Demoted control,BCL2L11,False
Demoted control,BEND5,False
Demoted control,CA2,False
Demoted control,CA5B,False
Demoted control,CAMK1D,False
Demoted control,CASP4,False
Demoted control,CDKN2C,False
Demoted control,CEBPB,False
Demoted control,CKAP4,False
Demoted control,CLCN2,False
Demoted control,CLU,False
Demoted control,CTH,False
Demoted control,CXCR4,False
Demoted control,DCBLD2,False
Demoted control,DHRS3,False
Demoted control,DHX32,False
Demoted control,DMWD,False
Demoted control,EARS2,False
Demoted control,EGLN1,False
Demoted control,EIF4A2,False
Demoted control,ENC1,False
Demoted control,ENPP2,False
Demoted control,EPSTI1,True
Demoted control,ERO1B,False
Demoted control,FAM169A,False
Demoted control,FOSL2,False
Demoted control,GADD45B,False
Demoted control,GKAP1,False
Demoted control,GOLGA7B,False
Demoted control,GOLM1,False
Demoted control,GPR160,False
Demoted control,GRB10,False
Demoted control,GSN,False
Demoted control,GZMA,False
Demoted control,GZMK,False
Demoted control,HHLA2,False
Demoted control,HSF4,False
Demoted control,IFI6,True
Demoted control,IGF2BP3,False
Demoted control,IL13,False
Demoted control,IL18R1,False
Demoted control,IL1RN,False
Demoted control,IRF7,True
Demoted control,ITGA1,False
Demoted control,ITGAL,False
Demoted control,KIAA0408,False
Demoted control,KIF7,False
Demoted control,KIFC2,False
Demoted control,KLF2,False
Demoted control,LRP11,False
Demoted control,LRRC37B,False
Demoted control,MAGEF1,False
Demoted control,MAP3K8,False
Demoted control,MARCKSL1,False
Demoted control,MAST4,False
Demoted control,MATK,False
Demoted control,MDK,False
Demoted control,METRNL,False
Demoted control,MSRA,False
Demoted control,MSTO1,False
Demoted control,MXD1,False
Demoted control,NARF,False
Demoted control,NDRG1,False
Demoted control,NPC2,False
