community,gene,max_genetic_score,diseases_hit,score_SLE,score_RA,score_MS,score_Sjogren,score_T1D
0,SH2B3,0.931,SLE;RA;MS;T1D,0.632,0.927,0.591,0.0,0.931
0,ERAP1,0.824,RA,0.0,0.824,0.0,0.0,0.0
0,STAT4,0.816,SLE;RA;MS;Sjogren;T1D,0.714,0.816,0.61,0.632,0.432
0,IFIH1,0.721,SLE;RA;T1D,0.615,0.654,0.0,0.0,0.721
0,SP140,0.718,RA;MS,0.0,0.479,0.718,0.0,0.0
0,DGKQ,0.701,SLE;RA;T1D,0.701,0.457,0.0,0.0,0.305
0,TRAF1,0.696,SLE;RA,0.396,0.696,0.0,0.0,0.0
0,AHI1,0.691,SLE;MS,0.202,0.0,0.691,0.0,0.0
0,CDKAL1,0.676,RA;T1D,0.0,0.452,0.0,0.0,0.676
0,MAF,0.669,SLE;RA;MS;T1D,0.404,0.451,0.669,0.0,0.419
0,CMC1,0.657,SLE;MS,0.54,0.0,0.657,0.0,0.0
0,ITPR3,0.65,RA;T1D,0.0,0.65,0.0,0.0,0.583
0,IRAK1,0.633,SLE;RA,0.633,0.552,0.0,0.0,0.0
0,BCL10,0.61,RA;MS,0.0,0.035,0.61,0.0,0.0
0,IKBKB,0.589,SLE,0.589,0.0,0.0,0.0,0.0
0,TNFRSF14,0.587,RA;MS,0.0,0.587,0.051,0.0,0.0
0,CD6,0.585,RA;MS;T1D,0.0,0.585,0.496,0.0,0.475
0,PRKCB,0.556,SLE;RA,0.454,0.556,0.0,0.0,0.0
0,RGS14,0.528,MS,0.0,0.0,0.528,0.0,0.0
0,C1orf21,0.523,RA,0.0,0.523,0.0,0.0,0.0
0,IL18R1,0.522,SLE;RA,0.171,0.522,0.0,0.0,0.0
0,FOSL2,0.521,RA,0.0,0.521,0.0,0.0,0.0
0,L3MBTL3,0.51,MS,0.0,0.0,0.51,0.0,0.0
0,TENT4A,0.509,MS,0.0,0.0,0.509,0.0,0.0
0,DIPK1A,0.502,T1D,0.0,0.0,0.0,0.0,0.502
0,GYPC,0.489,MS,0.0,0.0,0.489,0.0,0.0
0,SPIN4,0.489,RA,0.0,0.489,0.0,0.0,0.0
0,FOXP3,0.486,T1D,0.0,0.0,0.0,0.0,0.486
0,SSR3,0.484,T1D,0.0,0.0,0.0,0.0,0.484
0,CD47,0.482,SLE,0.482,0.0,0.0,0.0,0.0
0,RSRP1,0.471,RA,0.0,0.471,0.0,0.0,0.0
0,NCF4,0.47,MS,0.0,0.0,0.47,0.0,0.0
0,PRDX6,0.469,SLE;RA,0.469,0.468,0.0,0.0,0.0
0,MAPK14,0.467,RA;T1D,0.0,0.467,0.0,0.0,0.418
0,PSD4,0.465,RA,0.0,0.465,0.0,0.0,0.0
0,PCYOX1L,0.459,RA,0.0,0.459,0.0,0.0,0.0
0,NCOA2,0.445,SLE,0.445,0.0,0.0,0.0,0.0
0,CYRIB,0.442,RA,0.0,0.442,0.0,0.0,0.0
0,STAM2,0.427,SLE,0.427,0.0,0.0,0.0,0.0
0,SLC30A7,0.426,MS,0.0,0.0,0.426,0.0,0.0
0,PIK3CA,0.404,RA,0.0,0.404,0.0,0.0,0.0
0,HELZ,0.403,SLE,0.403,0.0,0.0,0.0,0.0
0,BBS9,0.4,RA,0.0,0.4,0.0,0.0,0.0
0,ITGA4,0.4,RA,0.0,0.4,0.0,0.0,0.0
0,CD28,0.399,SLE;RA;MS;T1D,0.1,0.26,0.399,0.0,0.127
0,PEX14,0.396,RA,0.0,0.396,0.0,0.0,0.0
0,ANXA4,0.393,Sjogren,0.0,0.0,0.0,0.393,0.0
0,THYN1,0.393,RA,0.0,0.393,0.0,0.0,0.0
0,TBC1D5,0.382,RA;Sjogren,0.0,0.053,0.0,0.382,0.0
0,KIF2A,0.363,RA;Sjogren,0.0,0.044,0.0,0.363,0.0
0,CPEB3,0.347,T1D,0.0,0.0,0.0,0.0,0.347
0,TBL1XR1,0.336,T1D,0.0,0.0,0.0,0.0,0.336
0,CPEB4,0.329,RA,0.0,0.329,0.0,0.0,0.0
0,BLTP1,0.325,SLE;RA;T1D,0.248,0.325,0.0,0.0,0.297
0,TMEM131,0.324,RA,0.0,0.324,0.0,0.0,0.0
0,ABL2,0.322,RA,0.0,0.322,0.0,0.0,0.0
0,LIMK2,0.291,MS,0.0,0.0,0.291,0.0,0.0
0,VEGFB,0.29,RA;MS,0.0,0.29,0.135,0.0,0.0
0,RAVER1,0.276,RA;T1D,0.0,0.276,0.0,0.0,0.194
0,CCDC34,0.271,RA;T1D,0.0,0.271,0.0,0.0,0.043
0,CISD2,0.265,MS;T1D,0.0,0.0,0.097,0.0,0.265
0,BMP2K,0.246,SLE,0.246,0.0,0.0,0.0,0.0
0,FOXO1,0.234,RA,0.0,0.234,0.0,0.0,0.0
0,MTFR1,0.226,T1D,0.0,0.0,0.0,0.0,0.226
0,CDK5RAP3,0.224,RA;T1D,0.0,0.187,0.0,0.0,0.224
0,RASA3,0.222,RA,0.0,0.222,0.0,0.0,0.0
0,SHMT1,0.217,MS,0.0,0.0,0.217,0.0,0.0
0,NRROS,0.216,SLE;RA,0.075,0.216,0.0,0.0,0.0
0,NXPE3,0.215,SLE;MS,0.215,0.0,0.126,0.0,0.0
0,DNAJC5,0.206,Sjogren,0.0,0.0,0.0,0.206,0.0
0,CDKN2A,0.204,SLE;RA;T1D,0.04,0.06,0.0,0.0,0.204
0,DPYSL2,0.199,Sjogren,0.0,0.0,0.0,0.199,0.0
0,IL18RAP,0.195,SLE,0.195,0.0,0.0,0.0,0.0
0,PSMG2,0.19,SLE;RA;T1D,0.073,0.098,0.0,0.0,0.19
0,HPSE,0.185,SLE,0.185,0.0,0.0,0.0,0.0
0,PCMTD1,0.179,Sjogren,0.0,0.0,0.0,0.179,0.0
0,NEURL4,0.177,SLE,0.177,0.0,0.0,0.0,0.0
0,WRNIP1,0.176,RA,0.0,0.176,0.0,0.0,0.0
0,EAF2,0.173,SLE;MS,0.034,0.0,0.173,0.0,0.0
0,PNPO,0.171,RA;T1D,0.0,0.057,0.0,0.0,0.171
0,VAMP3,0.169,RA,0.0,0.169,0.0,0.0,0.0
0,SLC25A44,0.167,T1D,0.0,0.0,0.0,0.0,0.167
0,NR3C1,0.143,RA,0.0,0.143,0.0,0.0,0.0
0,SHOC2,0.137,SLE,0.137,0.0,0.0,0.0,0.0
0,POLB,0.136,SLE,0.136,0.0,0.0,0.0,0.0
0,DDX60L,0.134,T1D,0.0,0.0,0.0,0.0,0.134
0,THADA,0.134,RA,0.0,0.134,0.0,0.0,0.0
