target_contrast,target_contrast_gene_name,culture_condition,single_guide_estimate,n_guides,guide_correlation_all,guide_correlation_signif,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000121410,A1BG,Rest,False,2.0,-0.0167473262147931,-1.0,0.0,,,
ENSG00000121410,A1BG,Stim48hr,False,2.0,0.0402455222332865,,0.0,,,
ENSG00000121410,A1BG,Stim8hr,False,2.0,0.042464293236897,,0.0,,,
ENSG00000175899,A2M,Rest,False,2.0,0.043526023705557,-0.46676736435911,0.0,0.0509476214684187,0.8146373867286822,0.8041170727972223
ENSG00000175899,A2M,Stim48hr,False,2.0,0.113212747428592,0.3510742400783045,0.0,0.0289270373276455,0.907425548253955,0.852365332597591
ENSG00000175899,A2M,Stim8hr,False,2.0,0.0336476014615899,0.2855150132189338,0.0,0.0380600087493043,0.7679589361674785,0.7002698427669607
ENSG00000094914,AAAS,Rest,False,2.0,,,,,,
ENSG00000094914,AAAS,Stim48hr,True,1.0,,,,,,
ENSG00000094914,AAAS,Stim8hr,False,2.0,,,,,,
ENSG00000081760,AACS,Rest,False,2.0,0.0342291709568716,0.1485523471371665,2.0,,,
ENSG00000081760,AACS,Stim48hr,False,2.0,,,,,,
ENSG00000081760,AACS,Stim8hr,False,2.0,,,,,,
ENSG00000103591,AAGAB,Rest,False,2.0,0.007365559719415,0.7809181882449211,2.0,,,
ENSG00000103591,AAGAB,Stim48hr,False,2.0,,,,,,
ENSG00000103591,AAGAB,Stim8hr,False,2.0,0.0679113861090734,0.8464385508186629,2.0,0.0807216822144294,0.8235040123057779,0.7205376035241297
ENSG00000115977,AAK1,Rest,False,2.0,0.0503221168321243,0.6102763330113088,2.0,,,
ENSG00000115977,AAK1,Stim48hr,False,2.0,0.0537002892356012,0.3374332510890986,2.0,,,
ENSG00000115977,AAK1,Stim8hr,False,2.0,0.0849927223195906,0.3529527109874919,2.0,,,
ENSG00000087884,AAMDC,Rest,True,1.0,-0.0224611685460893,-0.1088093509506849,1.0,,,
ENSG00000087884,AAMDC,Stim48hr,True,1.0,,,,,,
ENSG00000087884,AAMDC,Stim8hr,True,1.0,,,,,,
ENSG00000131043,AAR2,Rest,False,2.0,,,,0.0551195120323241,0.4364195517806108,0.3877904430536062
ENSG00000131043,AAR2,Stim48hr,False,2.0,,,,,,
ENSG00000131043,AAR2,Stim8hr,True,1.0,,,,,,
ENSG00000124608,AARS2,Rest,True,1.0,0.0912809375935238,-0.3032138980301382,1.0,,,
