gene,condition,n_downstream,ontarget_significant,donor_corr_hits_mean,donor_corr_all_mean,donor_corr_hits_min,n_cells,rank_n_downstream,donor_robust
TADA2B,Stim8hr,5919,True,0.8451168354079335,0.5740695567249081,0.8266845700082824,1489.0,1,True
CD3E,Stim8hr,5710,True,0.8517264903032252,0.7110312283591241,0.8122635596359719,234.0,2,True
LAT,Stim8hr,5535,True,0.7968807493559554,0.5544444557197409,0.7142171165934726,469.0,3,True
SENP5,Stim8hr,5171,True,0.7657609693192629,0.479426059474805,0.738648453950823,2188.0,4,True
PLCG1,Stim8hr,5032,True,0.8257517206780517,0.6209546567078746,0.7915987432551054,421.0,5,True
ZAP70,Stim8hr,5021,True,0.8491573129118457,0.6577043518700229,0.8054267606763026,144.0,6,True
CD3D,Stim8hr,4983,True,0.8404035529464132,0.6694156449842966,0.8221888591557934,185.0,7,True
LCP2,Stim8hr,4981,True,0.8425286515873669,0.6643664643266683,0.8149045461785116,153.0,8,True
CD3G,Stim8hr,4965,True,0.8352030828561569,0.6681163546725385,0.784803899239728,230.0,9,True
VAV1,Stim8hr,4897,True,0.7763124671986135,0.4979697329058627,0.7114374374949585,504.0,10,True
SGF29,Stim48hr,4868,True,0.8499779996754208,0.5178090110201525,0.8187470864893297,993.0,11,True
TAF6L,Stim8hr,4638,True,0.8509574254017558,0.5078514896429356,0.8348930824286863,806.0,12,True
UBXN1,Rest,4439,True,0.2758789736365695,0.0906728640598066,0.2058990388304903,592.0,13,False
SUPT7L,Stim8hr,4330,True,0.6834597423315899,0.3515583197897425,0.6682647111342173,2511.0,14,True
CD247,Stim8hr,4329,True,0.8224811519182627,0.55181021522921,0.8036216147090709,412.0,15,True
ELOF1,Stim48hr,4257,True,0.7233466337207931,0.3724045803964239,0.6681310315880465,1723.0,16,True
MED12,Stim8hr,4141,True,0.8287922165059164,0.58333216447569,0.8121322780028447,219.0,17,True
CCNC,Stim48hr,4090,True,0.6555516208690544,0.310098660000816,0.6073298754355817,3051.0,18,True
SUPT20H,Stim8hr,3947,True,0.8109203478342618,0.4117227561103463,0.7785413910576663,934.0,19,True
MED19,Stim8hr,3868,True,0.7283223013662887,0.3640930167876264,0.6940800661656304,977.0,20,True
ATAD5,Rest,3790,True,0.8118954145972411,0.5634531747148622,0.7993072128420612,1342.0,21,True
BRD8,Stim8hr,3692,True,0.6980317533390408,0.3999752444030102,0.687971217907155,372.0,22,True
BCAT2,Stim8hr,3677,True,0.7847017767061941,0.5284375322102681,0.7826385331504413,198.0,23,True
TADA1,Stim8hr,3648,True,0.7816227256711904,0.4016378981154587,0.7725222723126571,510.0,24,True
DENR,Stim8hr,3636,True,0.6948710265696668,0.2616408561956487,0.6873504361608536,806.0,25,True
PMVK,Stim48hr,3527,True,0.8113265914810733,0.4414430155652041,0.7519835138449189,212.0,26,True
ATP2A2,Rest,3518,True,0.7867744594895628,0.510297971979574,0.7576572272145693,268.0,27,True
BCL10,Stim8hr,3455,True,0.7107279712771969,0.2643774578511376,0.5672868214637314,687.0,28,True
ITK,Stim8hr,3392,True,0.7232012655459906,0.354922629272158,0.6871768152648572,517.0,29,True
TAF13,Stim8hr,3341,True,0.8111665817417123,0.4191635351540169,0.7997627303876554,533.0,30,True
SMARCE1,Stim8hr,3266,True,0.7826997353792698,0.4612493983640282,0.7706357343827016,142.0,31,True
DOP1B,Stim48hr,3240,True,0.3625909869262427,0.1395596078751294,0.212373384112202,2517.0,32,False
PTPRC,Stim48hr,3225,True,0.8031098945220377,0.4493754527825692,0.7975903900585314,301.0,33,True
ELOB,Stim8hr,3051,True,0.6992483948159566,0.4090471541794031,0.652763784229413,1093.0,34,True
NFRKB,Rest,3019,True,0.8345639980256337,0.4202701273957589,0.8234993110493538,1665.0,35,True
LEO1,Rest,3014,True,0.7511791874034467,0.4245311063207311,0.7014134431925292,347.0,36,True
PGGT1B,Stim8hr,3013,True,0.7184690121149688,0.4318933538387033,0.6044990129871067,102.0,37,True
LRBA,Stim8hr,2992,True,0.7735173302864103,0.4490168456782797,0.7589688458274385,376.0,38,True
CREBBP,Stim8hr,2968,True,0.7938773408557531,0.3237735627382006,0.7777230697422245,1150.0,39,True
TFAM,Stim48hr,2960,True,0.8074432447205003,0.4175543634212995,0.8017359273298703,414.0,40,True
NCKAP1L,Rest,2946,True,0.7437867902365772,0.3412642194014316,0.6380756961013772,867.0,41,True
ARNT,Stim48hr,2946,True,0.8681507876085462,0.4993852322234113,0.8372040290288618,795.0,41,True
TAF11,Stim8hr,2929,True,0.7994830706296626,0.3192820224716616,0.7918819364693265,1067.0,43,True
PTEN,Rest,2928,True,0.8593451920032229,0.5055072753700925,0.8530391638561475,1624.0,44,True
KDM1A,Stim48hr,2912,True,0.8494166658177731,0.544959287416368,0.8423649206722434,559.0,45,True
UBE2L3,Stim8hr,2873,True,0.4251293016786488,0.1226392120559582,0.328714632287845,1930.0,46,False
