target_contrast_gene_name,n_downstream_peak,mag_sig_peak,mean_sig_peak,l2_z_peak,rank_magnitude,rank_n_downstream
CD3E,5710,6056.981697693467,1.7186167389154434,458.31145613982056,1,2
ZAP70,5021,5402.235342800617,1.6221272764144554,406.6732315973774,2,6
LCP2,4981,5004.736668504775,1.9473470449447632,425.02069668769093,3,8
CD3D,4983,4905.248918920755,1.0478439671652657,416.38870898391554,4,7
CD3G,4965,4417.414495229721,2.5802528142929075,406.18164335201584,5,9
LAT,5535,4116.850954987109,1.4764270260930061,420.65387690809666,6,3
PLCG1,5032,3738.048646643758,1.1988223393758137,419.53921527743364,7,5
VAV1,4897,3226.5623540505767,0.6684072648770326,347.8884663805832,8,10
TADA2B,5919,3045.8072822242975,0.5220457874119117,385.9555508945517,9,1
MED12,4141,2915.2218859419227,0.7337778151622341,304.1829611814433,10,17
CD247,4329,2758.240744277835,2.3703338623046877,343.2717223507163,11,15
BCAT2,3677,2739.4945708215237,1.3198902606964111,307.81410217804927,12,23
SMARCE1,3266,2714.655617415905,0.9762299598992097,252.77862074058166,13,31
ATP2A2,3518,2669.1481398791075,0.8172753824832186,297.0970589642816,14,27
SENP5,5171,2481.560316223651,0.5043362116837831,319.677192431461,15,4
UBXN1,4439,2443.5261618867517,0.5642657559778955,238.92584130447486,16,13
PGGT1B,3013,2382.931954920292,0.856421445097242,257.1049307272415,17,37
BRD8,3692,2275.486562728882,0.7110838004474629,255.09729582897276,18,22
TAF6L,4638,2253.872670173645,0.5062613378581978,297.7176873478664,19,12
SGF29,4868,2185.6090807691216,0.4501332745327789,320.6114932936346,20,11
ATAD5,3790,2176.1681382358074,0.5740353833383823,255.2456332844174,21,21
PMVK,3527,2118.2864990085363,0.6015634594315832,261.63128773770035,22,26
LCK,2413,2100.983458042145,0.8703328326603748,238.05631268769653,23,69
SKIC8,2399,1984.5448236763477,0.8268936765318116,200.2416256899434,24,70
TMED9,2576,1946.6914441138506,0.8951472243400895,217.28892034257262,25,58
PTPRC,3225,1885.6877324953675,0.789994950727983,240.35951209879985,26,33
SMARCA5,2785,1866.6885773465037,1.0035034337026232,215.41699613226206,27,50
CCNC,4090,1852.6297933608294,0.5098895968556273,270.2893550728079,28,18
SMG1,2683,1847.578148752451,0.8228477254815815,262.27423093587043,29,55
ELOB,3051,1840.7526875138283,0.6804064085505938,244.00876541407342,30,34
TADA1,3648,1833.165453210473,0.5442700711274537,255.1449782377081,31,24
KDM1A,2912,1817.58185916394,0.6718943679024076,254.77466646705312,32,45
LRBA,2992,1817.049196921289,0.9159751713543195,280.9488194068943,33,38
BCL10,3455,1783.3689601793885,2.740518093109131,242.3187357101867,34,28
RTRAF,2286,1774.9063683003187,1.0678314055715288,228.4853431172865,35,77
ITK,3392,1767.4504848122597,0.7099588513374329,254.10969636744144,36,29
SUPT20H,3947,1735.93135086447,0.45151200030754873,268.31408658881077,37,19
SMARCB1,2129,1720.134764328599,0.8075750067270417,212.81291490036836,38,89
SUPT7L,4330,1705.3506175018847,0.3937544718314211,277.832740841412,39,14
LEO1,3014,1690.4909479096532,0.5848418341659422,221.00127001339317,40,36
ELOF1,4257,1686.5245432779193,0.39608373491731313,280.48064675979293,41,16
EFR3A,2029,1684.5066000074148,1.3961693782072802,219.4683329185111,42,94
DOP1B,3240,1673.858953051269,0.7073945973537947,215.67036870125398,43,32
CPSF6,2486,1665.3027307763696,0.7343892969137473,221.70083473047956,44,63
MEN1,2156,1652.6222008615732,0.8742763568579361,200.3811016680385,45,86
EIF4G1,1678,1646.1947589963675,0.9804614407363713,189.3443216117557,46,128
MED19,3868,1646.0477524250746,0.4718171562999487,254.33859903669955,47,20
EIF1AX,2576,1579.0466528087854,0.6127460818039524,204.15660944653973,48,58
FITM2,2606,1542.873366072774,0.8297224568336138,255.89332805605179,49,57
TAF13,3341,1538.3047134950757,0.4961236166031588,253.29400828427194,50,30
POGLUT3,2476,1520.10389957577,0.6662765372539213,207.08659872916104,51,64
PTEN,2928,1515.2438023015857,0.5385543217411825,242.70662842441794,52,44
ARNT,2946,1482.1535536423326,0.5029363941779208,254.83815826716003,53,41
DHX36,2326,1468.4044407904148,0.6776528127199052,225.27263677953673,54,74
NAA30,2084,1461.692002877593,0.7935710841408129,192.69414372805252,55,91
FZD6,1394,1456.143245741725,1.0438302836858244,185.20142537914643,56,169
UBE2L3,2873,1452.3474274091423,0.5731403183619849,228.32599447571388,57,46
DENR,3636,1434.5934831649065,0.40665724478823045,253.00684025313274,58,25
NSD1,2174,1407.8480753302574,0.6617217918717733,200.28466567446216,59,84
MPI,2294,1399.990076981485,0.7026139100189092,241.97727013293743,60,75
MTHFD1,1187,1382.1697822213173,1.1634425776273714,170.23311590479267,61,220
NPC2,2419,1366.5599089860916,0.5830729550053907,211.2761168898333,62,68
