gene,source,regulator_class,program_label,mean_knn_sim,top_neighbor,top_neighbor_source,top_neighbor_is_known_complex,in_program
SGF29,global,global,mixed,0.427,CCNC,global,True,False
TADA2B,global,global,SAGA/chromatin,0.848,TAF6L,global,True,True
SENP5,global,global,mixed,0.711,MED12,global,True,False
SUPT20H,global,global,SAGA/chromatin,0.843,TADA2B,global,True,True
TADA1,global,global,SAGA/chromatin,0.813,SUPT20H,global,True,True
CCNC,global,global,mixed,0.445,SGF29,global,True,False
MED12,global,global,SAGA/chromatin,0.743,MED19,global,True,True
NFRKB,global,global,mixed,0.262,BHLHE40,global,False,False
TAF6L,global,global,SAGA/chromatin,0.839,TADA2B,global,True,True
ARNT,global,global,mixed,0.284,TP53INP2,context-specific,False,False
ATP2A2,global,global,mixed,0.269,RHOA,context-specific,False,False
TAF13,global,global,mixed,0.418,TAF11,global,False,False
LEO1,global,global,mixed,0.244,SKIC8,global,False,False
KDM1A,global,global,mixed,0.271,SIK3,context-specific,False,False
ELOF1,global,global,mixed,0.281,CLCC1,context-specific,False,False
SMARCE1,global,global,mixed,0.23,SMARCB1,global,False,False
ELOB,global,global,mixed,0.342,UBE2L3,global,False,False
DENR,global,global,mixed,0.373,MED19,global,True,False
ATAD5,global,global,mixed,0.283,MED15,global,True,False
SUPT7L,global,global,SAGA/chromatin,0.797,SUPT20H,global,True,True
DHX36,global,global,mixed,0.317,KIFAP3,global,False,False
ELAVL1,global,global,mixed,0.434,ARFGEF2,promoted,False,False
EIF4G2,global,global,mixed,0.258,ELOB,global,False,False
SMG1,global,global,mixed,0.28,SMG7,global,False,False
CREBBP,global,global,mixed,0.282,PARP14,context-specific,False,False
AHR,global,global,mixed,0.656,PPM1L,context-specific,False,False
USP22,global,global,SAGA/chromatin,0.444,ATXN7L3,context-specific,True,True
MED15,global,global,mixed,0.362,MED19,global,True,False
NSD1,global,global,mixed,0.217,IL2RB,context-specific,False,False
RPRD2,global,global,mixed,0.251,YTHDF2,global,False,False
CPSF6,global,global,mixed,0.405,CFAP298,context-specific,False,False
