cluster,size,dominant_source,members
1,10,global,ATP2A2;ATAD5;MTA2;PTEN;USP7;NAA30;MYB;TRAF3;RPTOR;KLF2
2,49,context-specific,TADA2B;SENP5;SUPT20H;TADA1;MED12;TAF6L;ELOB;DENR;SUPT7L;EIF4G2;CREBBP;USP22;UBE2L3;ATF7IP2;CHD7;DOLPP1;MED19;BRPF1;NCAPG2;POGLUT3;ZAP70;LCK;ATXN7L3;SIK3;CLCC1
3,25,context-specific,LEO1;ELOF1;DHX36;MED15;SETDB1;KIFAP3;STRAP;EHMT2;EWSR1;TFAM;UVRAG;ERCC4;MIPEP;FH;MRC2;PMVK;RBM10;RHOA;ACTR2;OXA1L;ATP5PO;TWNK;ACLY;MOSPD1;CEP55
4,2,global,ARNT;TP53INP2
5,4,global,KDM1A;INTS10;STAT3;GPI
6,2,global,MED24;MED23
7,1,global,WDR82
8,3,global,SMG1;SMG7;CASC3
9,75,promoted,SGF29;CCNC;NFRKB;SMARCE1;ELAVL1;AHR;NSD1;UBXN1;WAC;SMARCB1;SKIC8;BHLHE40;STIP1;PDCL;NCOR1;GATA3;PAXIP1;NCKAP1L;DOP1B;TM2D1;INSR;ZMYM2;DLG4;IL2RB;TP53
10,27,context-specific,TAF13;RPRD2;CPSF6;UFM1;YTHDF2;PDSS2;UBR5;BTAF1;TAF11;HCCS;RTRAF;PRKAR1A;EIF4G1;COX6C;CFAP298;PTPA;PPIH;DDX1;NELFCD;ELP1;ATF4;COASY;TXNL4B;IL12RB2;KHDRBS1
11,1,global,SIN3B
12,1,demoted,TMBIM4
