regulator,conditions,n_conditions,mean_cross_condition_cosine,min_cross_condition_cosine,max_n_downstream
NDUFA5,Rest;Stim48hr,2,0.0281,0.0281,48
CKS1B,Rest;Stim48hr,2,0.0349,0.0349,40
TNFAIP3,Rest;Stim8hr,2,0.0502,0.0502,33
CENPE,Stim48hr;Stim8hr,2,0.0552,0.0552,71
MTPAP,Stim48hr;Stim8hr,2,0.0627,0.0627,783
CNIH4,Rest;Stim8hr,2,0.0646,0.0646,42
UNC45A,Rest;Stim48hr;Stim8hr,3,0.0705,0.0308,219
BRIP1,Rest;Stim48hr,2,0.079,0.079,57
CAMLG,Stim48hr;Stim8hr,2,0.0802,0.0802,75
RBFA,Stim48hr;Stim8hr,2,0.0911,0.0911,1165
PRKDC,Rest;Stim48hr;Stim8hr,3,0.0936,0.0839,260
GTF3C6,Rest;Stim8hr,2,0.0968,0.0968,653
ENTR1,Stim48hr;Stim8hr,2,0.0971,0.0971,328
WIPI2,Rest;Stim48hr,2,0.0993,0.0993,31
B4GALNT3,Rest;Stim48hr,2,0.1022,0.1022,371
NCAPD3,Stim48hr;Stim8hr,2,0.1032,0.1032,78
SNUPN,Rest;Stim48hr;Stim8hr,3,0.1052,0.071,151
MDM4,Rest;Stim48hr;Stim8hr,3,0.1061,0.0866,108
GET3,Rest;Stim48hr;Stim8hr,3,0.1062,0.0717,183
SIK2,Rest;Stim8hr,2,0.1081,0.1081,146
YIPF3,Stim48hr;Stim8hr,2,0.1092,0.1092,186
RHNO1,Rest;Stim48hr,2,0.1098,0.1098,46
AIFM1,Rest;Stim48hr;Stim8hr,3,0.1134,0.0572,997
ATIC,Rest;Stim8hr,2,0.1137,0.1137,180
PYROXD1,Rest;Stim48hr,2,0.114,0.114,72
TOPBP1,Rest;Stim8hr,2,0.1141,0.1141,34
EDRF1,Rest;Stim8hr,2,0.1145,0.1145,140
UVSSA,Stim48hr;Stim8hr,2,0.115,0.115,50
IFI27L1,Rest;Stim48hr,2,0.115,0.115,510
TADA2A,Stim48hr;Stim8hr,2,0.1173,0.1173,280
UBE2N,Rest;Stim48hr;Stim8hr,3,0.1194,0.047,325
ATP5MF,Rest;Stim48hr,2,0.1197,0.1197,688
PIP4P1,Rest;Stim48hr,2,0.1198,0.1198,24
OCIAD2,Stim48hr;Stim8hr,2,0.1198,0.1198,102
GTF3C4,Stim48hr;Stim8hr,2,0.1208,0.1208,74
POLG2,Stim48hr;Stim8hr,2,0.121,0.121,615
COA5,Stim48hr;Stim8hr,2,0.1211,0.1211,302
SRA1,Stim48hr;Stim8hr,2,0.1238,0.1238,86
CTNNBL1,Rest;Stim48hr,2,0.1241,0.1241,60
TNKS1BP1,Rest;Stim48hr,2,0.1248,0.1248,55
PIKFYVE,Rest;Stim8hr,2,0.1249,0.1249,24
SLK,Stim48hr;Stim8hr,2,0.1259,0.1259,35
ZWINT,Rest;Stim48hr;Stim8hr,3,0.1274,0.0188,133
WDR7,Stim48hr;Stim8hr,2,0.128,0.128,149
CCAR1,Rest;Stim8hr,2,0.1291,0.1291,171
EI24,Rest;Stim48hr;Stim8hr,3,0.1331,0.0988,118
TIPARP,Rest;Stim48hr,2,0.1336,0.1336,363
YBEY,Rest;Stim8hr,2,0.1338,0.1338,76
HSPA8,Rest;Stim8hr,2,0.1355,0.1355,59
COMMD8,Rest;Stim48hr,2,0.1364,0.1364,283
TBL1X,Stim48hr;Stim8hr,2,0.1365,0.1365,132
GADD45GIP1,Stim48hr;Stim8hr,2,0.1366,0.1366,536
CIT,Rest;Stim48hr;Stim8hr,3,0.1369,0.1024,73
C18orf32,Rest;Stim48hr;Stim8hr,3,0.138,0.0933,73
FDX1,Rest;Stim48hr;Stim8hr,3,0.1395,0.1097,156
ING3,Stim48hr;Stim8hr,2,0.1396,0.1396,118
RAP1A,Rest;Stim48hr;Stim8hr,3,0.14,0.1154,28
ZC3H14,Stim48hr;Stim8hr,2,0.142,0.142,66
SKA3,Rest;Stim48hr,2,0.1426,0.1426,109
ATP5ME,Rest;Stim48hr;Stim8hr,3,0.1427,0.0324,732
TMEM33,Rest;Stim48hr,2,0.1428,0.1428,85
IDH3A,Stim48hr;Stim8hr,2,0.1433,0.1433,124
NDUFS8,Rest;Stim48hr;Stim8hr,3,0.1435,0.1314,882
MCAT,Rest;Stim48hr,2,0.1447,0.1447,779
PRPF38B,Rest;Stim48hr;Stim8hr,3,0.1453,0.085,133
COX10,Rest;Stim8hr,2,0.1455,0.1455,244
ADSS2,Rest;Stim8hr,2,0.1463,0.1463,465
UTP23,Rest;Stim48hr,2,0.1471,0.1471,170
COX19,Rest;Stim48hr;Stim8hr,3,0.1476,0.1298,483
EMC2,Rest;Stim48hr;Stim8hr,3,0.1476,0.1189,465
