gene,condition,regulator_class,source,program_label,nearest_complex,nearest_complex_cosine,margin_over_next,nearest_neighbors,program_markers
SGF29,Stim48hr,global,global,mixed,SAGA,0.212,0.088,CCNC:0.66;STIP1:0.48;DOP1B:0.45,
TADA2B,Stim8hr,global,global,SAGA/chromatin,SAGA,0.898,0.345,TAF6L:0.94;SUPT20H:0.92;TADA1:0.88,ADA2+;PJA2+;TADA3+;MUC1+;MIEN1+;SELENOH+
SENP5,Stim8hr,global,global,mixed,SAGA,0.672,0.03,MED12:0.78;TADA2B:0.74;TAF6L:0.73,
SUPT20H,Stim8hr,global,global,SAGA/chromatin,SAGA,0.922,0.368,TADA2B:0.92;TAF6L:0.92;TADA1:0.90,ADA2+;PJA2+;TADA3+;MUC1+;MIEN1+;SELENOH+
TADA1,Stim8hr,global,global,SAGA/chromatin,SAGA,0.888,0.355,SUPT20H:0.90;TAF6L:0.88;TADA2B:0.88,ADA2+;PJA2+;TADA3+;MUC1+;MIEN1+;SELENOH+
CCNC,Stim48hr,global,global,mixed,SAGA,0.203,0.249,SGF29:0.66;DOP1B:0.54;PAXIP1:0.48,
MED12,Stim8hr,global,global,SAGA/chromatin,SAGA,0.696,0.131,MED19:0.78;SENP5:0.78;SUPT20H:0.75,ADA2+;PJA2+;TADA3+;MUC1+;MIEN1+;SELENOH+
NFRKB,Rest,global,global,mixed,TCR,-0.143,0.029,BHLHE40:0.31;PDCL:0.28;SMIM3:0.28,
TAF6L,Stim8hr,global,global,SAGA/chromatin,SAGA,0.912,0.388,TADA2B:0.94;SUPT20H:0.92;TADA1:0.88,ADA2+;PJA2+;TADA3+;MUC1+;MIEN1+;SELENOH+
ARNT,Stim48hr,global,global,mixed,Mediator,-0.036,0.005,TP53INP2:0.85;AHR:0.34;STIP1:0.21,
ATP2A2,Rest,global,global,mixed,Mediator,0.079,0.093,RHOA:0.33;PRKAR1A:0.29;MTA2:0.27,
TAF13,Stim8hr,global,global,mixed,Mediator,0.298,0.115,TAF11:0.81;MED19:0.46;POGLUT3:0.44,
LEO1,Rest,global,global,mixed,Mediator,0.092,0.129,SKIC8:0.34;RPRD2:0.26;ELOF1:0.26,
KDM1A,Stim48hr,global,global,mixed,TCR,0.277,0.059,SIK3:0.28;CD3E:0.28;LCK:0.28,
ELOF1,Stim48hr,global,global,mixed,TCR,0.284,0.287,CLCC1:0.35;PLCG1:0.29;CD3E:0.29,
SMARCE1,Stim8hr,global,global,mixed,TCR,0.064,0.005,SMARCB1:0.45;IL2RB:0.27;GATA3:0.23,
ELOB,Stim8hr,global,global,mixed,SAGA,0.303,0.006,UBE2L3:0.37;SENP5:0.35;TADA2B:0.35,
DENR,Stim8hr,global,global,mixed,Mediator,0.297,0.003,MED19:0.45;NCAPG2:0.41;SENP5:0.39,
ATAD5,Rest,global,global,mixed,Mediator,0.196,0.018,MED15:0.33;UBE2L3:0.32;MED19:0.30,
SUPT7L,Stim8hr,global,global,SAGA/chromatin,SAGA,0.824,0.268,SUPT20H:0.86;TADA1:0.85;TADA2B:0.84,ADA2+;PJA2+;TADA3+;MUC1+;MIEN1+;SELENOH+
DHX36,Rest,global,global,mixed,TCR,0.085,0.084,KIFAP3:0.64;UVRAG:0.35;STRAP:0.28,
ELAVL1,Stim8hr,global,global,mixed,TCR,-0.355,0.056,ARFGEF2:0.49;CRTC3:0.45;ITPR1:0.44,
EIF4G2,Stim8hr,global,global,mixed,TCR,0.233,0.143,ELOB:0.31;DENR:0.28;NCAPG2:0.26,
SMG1,Stim8hr,global,global,mixed,Mediator,-0.126,0.011,SMG7:0.78;CASC3:0.55;EGR2:0.18,
CREBBP,Stim8hr,global,global,mixed,TCR,0.246,0.088,PARP14:0.39;CCNC:0.28;LAT:0.27,
AHR,Rest,global,global,mixed,SAGA,-0.241,0.02,PPM1L:0.68;UBXN1:0.67;NCKAP1L:0.66,
USP22,Stim8hr,global,global,SAGA/chromatin,SAGA,0.467,0.185,ATXN7L3:0.61;SUPT20H:0.47;TAF6L:0.47,ADA2+;PJA2+;TADA3+;MUC1+;MIEN1+;SELENOH+
MED15,Rest,global,global,mixed,TCR,0.32,0.028,MED19:0.44;POGLUT3:0.37;MRC2:0.37,
NSD1,Stim48hr,global,global,mixed,TCR,-0.01,0.073,IL2RB:0.31;GATA3:0.29;ZNF649:0.21,
RPRD2,Stim48hr,global,global,mixed,Mediator,-0.076,0.065,YTHDF2:0.30;ACTR2:0.26;LEO1:0.26,
CPSF6,Stim8hr,global,global,mixed,Mediator,-0.24,0.035,CFAP298:0.46;PPIH:0.44;COX6C:0.41,
UBE2L3,Stim8hr,global,global,mixed,Mediator,0.505,0.043,SENP5:0.69;GLIPR2:0.60;MED12:0.60,
UFM1,Stim8hr,global,global,mixed,Mediator,-0.068,0.103,EIF4G1:0.38;ATF4:0.36;SLC35B1:0.29,
UBXN1,Rest,global,global,mixed,SAGA,-0.314,0.019,ZMYM2:0.85;NCKAP1L:0.83;DYNC2H1:0.81,
WAC,Stim8hr,global,global,mixed,Mediator,-0.232,0.164,CEP250:0.44;ARFGEF2:0.43;BHLHE40:0.43,
SMARCB1,Rest,global,global,mixed,SAGA,-0.164,0.092,INSR:0.47;SMARCE1:0.45;UBXN1:0.45,
SETDB1,Rest,global,global,mixed,TCR,0.116,0.033,MED15:0.31;ATF7IP2:0.30;UVRAG:0.27,
WDR82,Stim8hr,global,global,mixed,Mediator,0.104,0.029,BTAF1:0.20;WAC:0.18;TADA1:0.13,
YTHDF2,Stim48hr,global,global,mixed,Mediator,-0.214,0.052,PDCL:0.40;STARD3:0.39;DOP1B:0.37,
SKIC8,Stim48hr,global,global,mixed,Mediator,-0.185,0.186,ITPR1:0.41;TM2D1:0.40;ARFGEF2:0.38,
ATF7IP2,Stim8hr,global,global,TCR signaling,TCR,0.549,0.243,EIF1AX:0.56;CD3E:0.56;NCAPG2:0.56,STK17B+;S100A11+;RNF19B+;SELPLG+;MYO1F+;BIN2+
SIN3B,Stim48hr,global,global,mixed,Mediator,-0.108,0.039,SKIC8:0.19;STARD3:0.18;SEC31A:0.18,
