gene,condition,neighbor,neighbor_condition,similarity,rank
SGF29,Stim48hr,CCNC,Stim48hr,0.6568,1
SGF29,Stim48hr,STIP1,Stim48hr,0.4825,2
SGF29,Stim48hr,DOP1B,Stim48hr,0.4479,3
SGF29,Stim48hr,PAXIP1,Stim48hr,0.4278,4
SGF29,Stim48hr,IL2RB,Stim48hr,0.3847,5
SGF29,Stim48hr,ZNF649,Stim48hr,0.3507,6
SGF29,Stim48hr,GATA3,Stim48hr,0.3442,7
SGF29,Stim48hr,PPM1L,Rest,0.3196,8
TADA2B,Stim8hr,TAF6L,Stim8hr,0.9412,1
TADA2B,Stim8hr,SUPT20H,Stim8hr,0.9243,2
TADA2B,Stim8hr,TADA1,Stim8hr,0.8762,3
TADA2B,Stim8hr,CHD7,Stim8hr,0.8723,4
TADA2B,Stim8hr,TSPYL5,Stim8hr,0.854,5
TADA2B,Stim8hr,SUPT7L,Stim8hr,0.8362,6
TADA2B,Stim8hr,MED12,Stim8hr,0.7461,7
TADA2B,Stim8hr,SENP5,Stim8hr,0.737,8
SENP5,Stim8hr,MED12,Stim8hr,0.7777,1
SENP5,Stim8hr,TADA2B,Stim8hr,0.737,2
SENP5,Stim8hr,TAF6L,Stim8hr,0.7301,3
SENP5,Stim8hr,MED19,Stim8hr,0.7118,4
SENP5,Stim8hr,SUPT20H,Stim8hr,0.6974,5
SENP5,Stim8hr,UBE2L3,Stim8hr,0.6854,6
SENP5,Stim8hr,STX16,Stim8hr,0.6772,7
SENP5,Stim8hr,SUPT7L,Stim8hr,0.6738,8
SUPT20H,Stim8hr,TADA2B,Stim8hr,0.9243,1
SUPT20H,Stim8hr,TAF6L,Stim8hr,0.9201,2
SUPT20H,Stim8hr,TADA1,Stim8hr,0.8988,3
SUPT20H,Stim8hr,TSPYL5,Stim8hr,0.8566,4
SUPT20H,Stim8hr,SUPT7L,Stim8hr,0.8551,5
SUPT20H,Stim8hr,CHD7,Stim8hr,0.841,6
SUPT20H,Stim8hr,MED12,Stim8hr,0.7512,7
SUPT20H,Stim8hr,SENP5,Stim8hr,0.6974,8
TADA1,Stim8hr,SUPT20H,Stim8hr,0.8988,1
TADA1,Stim8hr,TAF6L,Stim8hr,0.8781,2
TADA1,Stim8hr,TADA2B,Stim8hr,0.8762,3
TADA1,Stim8hr,TSPYL5,Stim8hr,0.8573,4
TADA1,Stim8hr,SUPT7L,Stim8hr,0.8516,5
TADA1,Stim8hr,CHD7,Stim8hr,0.8065,6
TADA1,Stim8hr,MED12,Stim8hr,0.7159,7
TADA1,Stim8hr,SENP5,Stim8hr,0.618,8
CCNC,Stim48hr,SGF29,Stim48hr,0.6568,1
