gene,condition,row,source,regulator_class,regpower_eb_mean,n_downstream
SGF29,Stim48hr,25092,global,global,2.5012,4868
TADA2B,Stim8hr,27692,global,global,2.446,5919
SENP5,Stim8hr,24873,global,global,2.4291,5171
SUPT20H,Stim8hr,27516,global,global,2.3911,3947
TADA1,Stim8hr,27686,global,global,2.3527,3648
CCNC,Stim48hr,4479,global,global,2.2948,4090
MED12,Stim8hr,16379,global,global,2.2839,4141
NFRKB,Rest,18585,global,global,2.265,3019
TAF6L,Stim8hr,27732,global,global,2.2397,4638
ARNT,Stim48hr,1951,global,global,2.2236,2946
ATP2A2,Rest,2300,global,global,2.2224,3518
TAF13,Stim8hr,27707,global,global,2.1897,3341
LEO1,Rest,15081,global,global,2.1758,3014
KDM1A,Stim48hr,14303,global,global,2.1629,2912
ELOF1,Stim48hr,8564,global,global,2.1495,4257
SMARCE1,Stim8hr,26218,global,global,2.1436,3266
ELOB,Stim8hr,8559,global,global,2.1128,3051
DENR,Stim8hr,7264,global,global,2.1044,3636
ATAD5,Rest,2146,global,global,2.1029,3790
SUPT7L,Stim8hr,27525,global,global,2.0977,4330
DHX36,Rest,7406,global,global,2.0928,2326
ELAVL1,Stim8hr,8512,global,global,2.0873,2169
EIF4G2,Stim8hr,8487,global,global,2.085,2529
SMG1,Stim8hr,26233,global,global,2.0846,2683
CREBBP,Stim8hr,6307,global,global,2.0793,2968
AHR,Rest,772,global,global,2.0783,2789
USP22,Stim8hr,30959,global,global,2.0489,2380
MED15,Rest,16389,global,global,2.0454,2806
NSD1,Stim48hr,19116,global,global,2.0439,2174
RPRD2,Stim48hr,24055,global,global,2.0414,2754
CPSF6,Stim8hr,6234,global,global,2.0382,2486
UBE2L3,Stim8hr,30566,global,global,1.9877,2873
UFM1,Stim8hr,30749,global,global,1.9654,2278
UBXN1,Rest,30691,global,global,1.9518,4439
WAC,Stim8hr,31344,global,global,1.9464,2475
SMARCB1,Rest,26200,global,global,1.9199,2129
SETDB1,Rest,25018,global,global,1.8826,2290
WDR82,Stim8hr,31500,global,global,1.8802,1791
YTHDF2,Stim48hr,31800,global,global,1.8798,2617
SKIC8,Stim48hr,31476,global,global,1.8694,2399
ATF7IP2,Stim8hr,2181,global,global,1.862,2730
SIN3B,Stim48hr,25337,global,global,1.8606,1613
MTA2,Stim8hr,17470,global,global,1.8531,1728
PDSS2,Stim8hr,20303,global,global,1.8478,2226
CHD7,Stim8hr,5339,global,global,1.8432,2277
KIFAP3,Rest,14528,global,global,1.8239,1584
SMG7,Stim8hr,26241,global,global,1.8224,1764
UBR5,Stim8hr,30678,global,global,1.8221,1705
MED24,Stim8hr,16406,global,global,1.807,2794
DOLPP1,Stim8hr,7810,global,global,1.7982,2717
PTEN,Rest,22304,global,global,1.7843,2928
INTS10,Stim48hr,13670,global,global,1.7782,2075
MED19,Stim8hr,16397,global,global,1.7744,3868
BTAF1,Stim8hr,3152,global,global,1.7662,1492
STAT3,Stim48hr,27224,global,global,1.7642,1592
USP7,Stim8hr,31035,global,global,1.7591,1536
TAF11,Stim8hr,27701,global,global,1.7506,2929
CASC3,Stim8hr,4050,global,global,1.7428,1430
NAA30,Stim8hr,17938,global,global,1.7371,2084
STRAP,Rest,27357,global,global,1.7351,1699
EHMT2,Rest,8385,global,global,1.7276,1428
EWSR1,Rest,9080,global,global,1.7248,2451
MYB,Rest,17739,global,global,1.7232,1324
BHLHE40,Stim8hr,2881,global,global,1.711,1996
HCCS,Stim8hr,11980,global,global,1.7063,1372
RTRAF,Stim8hr,24229,global,global,1.7047,2286
STIP1,Stim48hr,27261,global,global,1.7019,1445
BRPF1,Stim8hr,3116,global,global,1.6936,1787
PDCL,Stim48hr,20166,global,global,1.6932,1501
NCOR1,Stim48hr,18204,global,global,1.6885,2006
GATA3,Stim48hr,10723,global,global,1.6843,1252
NCAPG2,Stim8hr,18139,global,global,1.6787,1696
PRKAR1A,Stim8hr,21951,global,global,1.6775,1390
TRAF3,Stim8hr,29688,global,global,1.6762,1625
PAXIP1,Stim48hr,19979,global,global,1.6749,1240
NCKAP1L,Rest,18170,context-specific,condition-specific,1.7972,2946
DOP1B,Stim48hr,7815,context-specific,condition-specific,1.7578,3240
POGLUT3,Stim8hr,14289,context-specific,condition-specific,1.7046,2476
ZAP70,Stim8hr,31840,context-specific,condition-specific,1.6234,5021
TFAM,Stim48hr,28271,context-specific,condition-specific,1.5767,2960
LCK,Stim8hr,15018,context-specific,condition-specific,1.537,2413
ATXN7L3,Stim8hr,2460,context-specific,condition-specific,1.4847,1941
EIF4G1,Stim8hr,8484,context-specific,condition-specific,1.4238,1678
SIK3,Stim48hr,25316,context-specific,condition-specific,1.4228,1809
GPI,Stim48hr,11417,context-specific,condition-specific,1.419,1779
CLCC1,Stim48hr,5577,context-specific,condition-specific,1.351,1731
TP53INP2,Stim48hr,29570,context-specific,condition-specific,1.3465,1692
COX6C,Stim8hr,6166,context-specific,condition-specific,1.3055,1493
COG6,Stim8hr,5936,context-specific,condition-specific,1.2776,1161
CFAP298,Stim8hr,5250,context-specific,condition-specific,1.265,1424
LAMTOR2,Stim48hr,14930,context-specific,condition-specific,1.2544,2062
RPTOR,Stim8hr,24106,context-specific,condition-specific,1.2508,1028
UVRAG,Rest,31055,context-specific,condition-specific,1.2405,1195
EIF1AX,Stim8hr,8411,context-specific,condition-specific,1.2392,2576
GLIPR2,Stim8hr,11068,context-specific,condition-specific,1.2366,1360
TM2D1,Stim48hr,28659,context-specific,condition-specific,1.2207,1184
ERCC4,Stim48hr,8863,context-specific,condition-specific,1.206,1144
INSR,Rest,13666,context-specific,condition-specific,1.202,1365
USO1,Stim8hr,30920,context-specific,condition-specific,1.1967,1381
MIPEP,Stim48hr,16771,context-specific,condition-specific,1.1965,2143
PGGT1B,Stim8hr,20516,context-specific,condition-specific,1.1919,3013
TSPYL5,Stim8hr,30141,context-specific,condition-specific,1.1875,2232
STX16,Stim8hr,27399,context-specific,condition-specific,1.1875,1144
FH,Rest,10039,context-specific,condition-specific,1.1843,945
TESPA1,Stim8hr,28242,context-specific,condition-specific,1.1829,1974
ZMYM2,Rest,32373,context-specific,condition-specific,1.1653,2177
MRC2,Stim48hr,17093,context-specific,condition-specific,1.1504,1350
SLC35B1,Stim8hr,25819,context-specific,condition-specific,1.143,1541
MPI,Stim8hr,17028,context-specific,condition-specific,1.0928,2294
RRAGA,Stim48hr,24123,context-specific,condition-specific,1.0884,1731
PTPA,Stim48hr,22386,context-specific,condition-specific,1.0483,1104
DLG4,Rest,7485,context-specific,condition-specific,1.0465,1285
PMVK,Stim48hr,21276,context-specific,condition-specific,1.0434,3527
RBM10,Stim48hr,23139,context-specific,condition-specific,1.0379,1504
LAT,Stim8hr,14982,context-specific,condition-specific,1.0337,5535
FZD6,Stim8hr,10552,context-specific,condition-specific,1.0177,1394
PARP14,Stim8hr,19896,context-specific,condition-specific,1.0145,1328
PPIH,Stim8hr,21571,context-specific,condition-specific,1.0071,876
MED23,Stim8hr,16403,context-specific,condition-specific,1.0069,1011
DDX1,Stim8hr,7123,context-specific,condition-specific,0.9969,819
RHOA,Stim48hr,23567,context-specific,condition-specific,0.9912,1183
NELFCD,Stim8hr,18449,context-specific,condition-specific,0.9802,1024
MED1,Stim8hr,16374,context-specific,condition-specific,0.9795,818
ACTR2,Stim48hr,381,context-specific,condition-specific,0.9753,1048
OXA1L,Stim48hr,19660,context-specific,condition-specific,0.9749,1541
ATP5PO,Stim48hr,2359,context-specific,condition-specific,0.9706,1156
IL2RB,Stim48hr,13490,context-specific,condition-specific,0.9688,1069
KLF2,Rest,14588,context-specific,condition-specific,0.951,986
TWNK,Stim48hr,30374,context-specific,condition-specific,0.9456,801
ACLY,Stim48hr,282,context-specific,condition-specific,0.9435,2431
TP53,Rest,29551,context-specific,condition-specific,0.9429,1848
EGR2,Stim8hr,8357,context-specific,condition-specific,0.938,854
ELP1,Stim8hr,8583,context-specific,condition-specific,0.9361,827
PPM1L,Rest,21604,context-specific,condition-specific,0.9291,928
ATF4,Stim8hr,2166,context-specific,condition-specific,0.9185,1061
ZNF649,Stim48hr,33394,context-specific,condition-specific,0.9112,1173
UBE2E2,Stim8hr,30536,context-specific,condition-specific,0.9091,1523
DYNC2H1,Rest,8076,context-specific,condition-specific,0.9055,869
COASY,Stim8hr,5927,context-specific,condition-specific,0.9009,622
DCAKD,Stim8hr,7014,context-specific,condition-specific,0.9,1497
RBM33,Stim8hr,23179,context-specific,condition-specific,0.8983,814
CD3E,Stim8hr,4694,context-specific,condition-specific,0.894,5710
TXNL4B,Stim8hr,30422,context-specific,condition-specific,0.8855,966
EFR3A,Stim8hr,8331,context-specific,condition-specific,0.8825,2029
SINHCAF,Stim8hr,25341,context-specific,condition-specific,0.8723,1210
GABARAPL1,Rest,10586,context-specific,condition-specific,0.872,792
PLCG1,Stim8hr,21058,context-specific,condition-specific,0.8673,5032
IL12RB2,Stim8hr,13398,context-specific,condition-specific,0.864,750
MORC2,Stim8hr,16969,context-specific,condition-specific,0.8623,800
KHDRBS1,Stim8hr,14362,context-specific,condition-specific,0.8519,935
CCDC117,Rest,4212,promoted,condition-specific,-3.161,0
CRTC3,Stim8hr,6379,promoted,condition-specific,-2.9307,1
IL16,Rest,13411,promoted,condition-specific,-2.9307,1
LEPROTL1,Stim8hr,15089,promoted,condition-specific,-3.161,0
DYRK1A,Stim8hr,8096,promoted,condition-specific,-3.161,0
MTR,Stim8hr,17607,promoted,condition-specific,-2.9307,1
MBOAT7,Stim48hr,16229,promoted,condition-specific,-2.9307,1
HAVCR2,Rest,11950,promoted,condition-specific,-3.161,0
DUSP22,Stim48hr,8025,promoted,condition-specific,-2.9307,1
EFCAB14,Rest,8293,promoted,condition-specific,-2.9307,1
HROB,Stim8hr,3383,promoted,condition-specific,-3.161,0
KPTN,Stim8hr,14787,promoted,condition-specific,-3.161,0
SMAD2,Stim8hr,26157,promoted,condition-specific,-3.161,0
LRP8,Stim8hr,15466,promoted,condition-specific,-2.9307,1
STARD3,Stim8hr,27201,promoted,condition-specific,-3.161,0
PDCD6,Stim8hr,20161,promoted,condition-specific,-3.161,0
TMEM183A,Stim48hr,28937,promoted,condition-specific,-2.9307,1
DDX19B,Stim8hr,7132,promoted,condition-specific,-3.161,0
NEU1,Stim48hr,18476,promoted,condition-specific,-3.161,0
RILPL2,Stim48hr,23641,promoted,condition-specific,-2.9307,1
SC5D,Stim8hr,24511,promoted,condition-specific,-3.161,0
LSP1,Stim8hr,15630,promoted,condition-specific,-2.9307,1
PIK3C2A,Stim48hr,20812,promoted,condition-specific,-2.8237,2
CEP250,Stim8hr,5147,promoted,condition-specific,-3.161,0
ARFGEF2,Stim8hr,1652,promoted,condition-specific,-2.9307,1
ITPR1,Stim48hr,13959,demoted,condition-specific,-1.7647,391
MOSPD1,Rest,16997,demoted,condition-specific,-1.9609,153
BPNT1,Rest,3053,demoted,condition-specific,-2.0219,59
TMBIM4,Stim8hr,28696,demoted,condition-specific,-1.68,34
PKN3,Stim48hr,20974,demoted,condition-specific,-1.8533,85
CEP55,Stim48hr,5164,demoted,condition-specific,-1.9998,42
SEC31A,Stim48hr,24757,demoted,condition-specific,-1.5215,59
APAF1,Rest,1437,demoted,condition-specific,-1.8293,89
LARP4,Stim48hr,14966,demoted,condition-specific,-2.1362,66
NIPSNAP3A,Stim8hr,18668,demoted,condition-specific,-2.1703,56
TAOK2,Rest,27769,demoted,condition-specific,-1.7162,164
SOCS2,Stim48hr,26505,demoted,global,-2.1857,3
RETREG2,Stim8hr,23396,demoted,global,-2.1836,5
