gene,condition,row,source,regulator_class,regpower_eb_mean,n_downstream,cluster,program_label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SGF29,Stim48hr,25092,global,global,2.5012,4868,9,mixed,-15.1051,50.776,-14.0354,-36.4118,-0.7541,-4.3453,10.9357,4.4923,-3.0732,-10.9442
TADA2B,Stim8hr,27692,global,global,2.446,5919,2,SAGA/chromatin,64.6317,51.7437,21.3135,-11.2378,0.7867,8.5996,0.2204,2.2306,-10.5863,-1.1336
SENP5,Stim8hr,24873,global,global,2.4291,5171,2,mixed,41.7782,35.7051,16.6382,8.8338,3.5346,-2.475,-5.3764,-0.2371,10.48,6.8654
SUPT20H,Stim8hr,27516,global,global,2.3911,3947,2,SAGA/chromatin,38.7491,34.1798,20.3326,-9.4256,0.0856,2.5393,1.567,1.4378,-8.2093,-3.8412
TADA1,Stim8hr,27686,global,global,2.3527,3648,2,SAGA/chromatin,30.9636,33.9532,19.8498,-15.5463,4.177,1.8591,-1.6724,-0.0163,-9.3139,-0.2721
CCNC,Stim48hr,4479,global,global,2.2948,4090,9,mixed,-16.9472,39.0376,-11.3488,-18.9612,6.1844,-13.1628,-0.02,-5.576,6.2048,-2.3007
MED12,Stim8hr,16379,global,global,2.2839,4141,2,SAGA/chromatin,50.6532,29.381,29.2128,-4.6995,6.2902,-14.7068,-7.7132,1.5648,9.653,4.4657
NFRKB,Rest,18585,global,global,2.265,3019,9,mixed,-11.7012,-1.205,-13.4245,-11.4385,5.6267,-5.1654,-1.7086,-1.0969,0.9967,-2.1974
TAF6L,Stim8hr,27732,global,global,2.2397,4638,2,SAGA/chromatin,47.1634,40.913,15.851,-5.9459,-0.9087,8.6722,2.9557,0.973,-7.5208,-0.4518
ARNT,Stim48hr,1951,global,global,2.2236,2946,4,mixed,-9.6282,6.1836,-0.0224,-7.2573,-8.5268,-10.2405,24.2039,-35.4377,14.5636,-23.4186
ATP2A2,Rest,2300,global,global,2.2224,3518,1,mixed,4.4526,-17.3765,39.6518,7.6444,-8.9847,30.614,-19.5874,-5.2751,9.1198,-21.5602
TAF13,Stim8hr,27707,global,global,2.1897,3341,10,mixed,18.1356,-9.0709,34.6062,4.7873,-9.7257,-15.2892,4.7017,-8.4573,0.4776,0.1016
LEO1,Rest,15081,global,global,2.1758,3014,3,mixed,-0.2333,-11.4902,8.8585,-1.3015,-0.2239,-10.2079,-9.3257,1.7391,-3.229,2.6013
KDM1A,Stim48hr,14303,global,global,2.1629,2912,5,mixed,16.6567,-3.1329,-1.0009,-14.885,-10.7242,-13.4747,-10.1726,-7.0286,3.7167,8.6606
ELOF1,Stim48hr,8564,global,global,2.1495,4257,3,mixed,14.5907,-12.7061,-8.437,-0.1139,-14.6886,-7.2442,7.3251,-8.4425,-0.4351,5.7061
SMARCE1,Stim8hr,26218,global,global,2.1436,3266,9,mixed,2.7846,5.4547,-14.7044,-16.6645,3.7549,25.5982,-5.9549,2.7798,31.28,-3.4185
ELOB,Stim8hr,8559,global,global,2.1128,3051,2,mixed,19.8881,8.5324,6.2049,14.3232,6.5218,3.3897,0.9886,21.6167,-8.3386,8.5044
DENR,Stim8hr,7264,global,global,2.1044,3636,2,mixed,22.1711,-0.2745,16.5015,8.0763,-9.1052,7.4317,-3.4325,7.3335,12.5467,-1.3806
ATAD5,Rest,2146,global,global,2.1029,3790,1,mixed,10.0231,3.1194,16.7136,12.8432,-14.431,7.592,4.1614,4.0278,1.2467,-1.5242
SUPT7L,Stim8hr,27525,global,global,2.0977,4330,2,SAGA/chromatin,35.3319,30.9765,24.0193,-8.3783,10.0024,-1.8147,-1.329,-4.1519,-10.1618,0.6594
DHX36,Rest,7406,global,global,2.0928,2326,3,mixed,4.5085,-19.6839,2.7634,-13.6379,2.7526,1.3754,-11.6682,1.7169,4.9126,-12.3994
ELAVL1,Stim8hr,8512,global,global,2.0873,2169,9,mixed,-22.5994,-11.4253,-11.7717,2.3028,-2.6919,-1.536,-2.4054,-0.8187,-11.3427,-2.43
EIF4G2,Stim8hr,8487,global,global,2.085,2529,2,mixed,10.9368,0.7027,-1.599,9.5234,-1.0405,0.3799,-3.595,2.2298,6.4917,-5.6692
SMG1,Stim8hr,26233,global,global,2.0846,2683,8,mixed,-8.0242,-4.2538,-1.3561,1.2978,12.653,13.2709,-13.0549,6.3121,-0.6269,-19.2034
CREBBP,Stim8hr,6307,global,global,2.0793,2968,2,mixed,8.9586,12.4729,-23.3936,-7.4286,8.7871,8.924,-3.2404,-5.0978,2.4219,7.5083
AHR,Rest,772,global,global,2.0783,2789,9,mixed,-31.5207,15.1968,-3.2388,18.259,-10.8743,1.3217,17.1655,-1.1959,0.667,-8.4018
USP22,Stim8hr,30959,global,global,2.0489,2380,2,SAGA/chromatin,15.1331,10.7447,2.7879,9.4416,-2.3423,3.7496,-0.5314,1.1356,-17.029,-8.2007
MED15,Rest,16389,global,global,2.0454,2806,3,mixed,18.0325,-6.7351,12.1407,-8.6422,-6.3537,-3.2837,-7.1529,3.294,1.4563,-5.7728
NSD1,Stim48hr,19116,global,global,2.0439,2174,9,mixed,-3.4651,-0.069,-12.0008,-8.5715,2.0326,-1.0525,-2.8255,-2.2773,4.6297,-2.9947
RPRD2,Stim48hr,24055,global,global,2.0414,2754,10,mixed,-4.6076,-12.9603,13.9665,-3.7862,-0.3189,-0.4032,4.2455,-1.0285,-6.18,4.3129
CPSF6,Stim8hr,6234,global,global,2.0382,2486,10,mixed,-20.0787,-8.6334,16.1841,7.0574,-1.0163,-4.0739,18.8241,-0.7105,4.5115,4.9396
UBE2L3,Stim8hr,30566,global,global,1.9877,2873,2,mixed,19.3294,20.2393,15.1776,11.9221,-4.4976,-3.2893,2.5778,-0.2531,8.5019,6.9762
UFM1,Stim8hr,30749,global,global,1.9654,2278,10,mixed,-10.7384,-5.8296,12.1944,11.3089,11.4078,-11.4624,-6.3037,-10.9878,-8.4454,-0.2423
UBXN1,Rest,30691,global,global,1.9518,4439,9,mixed,-42.4031,18.5708,-5.3845,20.5384,-2.2914,6.3632,4.1868,3.784,0.2265,0.3798
WAC,Stim8hr,31344,global,global,1.9464,2475,9,mixed,-25.7802,-0.2737,-9.9106,-7.7895,4.7671,-2.8119,-2.1633,-1.5679,15.2188,20.068
SMARCB1,Rest,26200,global,global,1.9199,2129,9,mixed,-22.9339,9.6262,-6.6247,1.3681,-0.6346,18.1263,0.8156,0.5429,13.5818,-8.6181
SETDB1,Rest,25018,global,global,1.8826,2290,3,mixed,7.6188,-7.8321,6.6182,-8.9785,1.0054,4.9203,-9.0631,-1.7405,-5.8009,-2.5451
WDR82,Stim8hr,31500,global,global,1.8802,1791,7,mixed,-1.0793,4.7325,0.5072,-9.2355,-1.0432,-4.1106,-6.5576,1.3237,2.7364,6.9876
YTHDF2,Stim48hr,31800,global,global,1.8798,2617,10,mixed,-23.2188,-5.1984,9.5654,-2.7336,9.866,-6.369,8.7285,5.8449,-7.2946,-9.868
SKIC8,Stim48hr,31476,global,global,1.8694,2399,9,mixed,-24.3946,-6.0957,-3.5884,9.8497,-6.7858,-15.426,-5.2268,2.6153,7.0011,4.7827
ATF7IP2,Stim8hr,2181,global,global,1.862,2730,2,TCR signaling,21.3545,0.7153,-3.7158,7.566,-6.1525,7.04,2.0824,-1.9606,-2.3327,0.3262
SIN3B,Stim48hr,25337,global,global,1.8606,1613,11,mixed,-6.3639,-4.2511,3.4146,2.4867,-2.5906,0.3331,-1.2338,1.5591,1.6936,-2.5881
MTA2,Stim8hr,17470,global,global,1.8531,1728,1,mixed,2.416,-3.9658,13.4234,8.956,-7.1212,4.5882,4.6334,1.2733,-5.1245,-8.2175
PDSS2,Stim8hr,20303,global,global,1.8478,2226,10,mixed,-16.4822,-13.731,18.8665,-4.6507,-0.8399,-8.597,8.8247,0.9817,0.4818,-5.1883
