regulator,peak_condition,n_downstream,cluster,PC1,PC2,PC3,PC4,PC5
TADA2B,Stim8hr,5919,22,15.891377,27.052776,19.820532,-14.046633,-0.7636962
CD3E,Stim8hr,5710,22,89.25132,-7.4732847,2.8952684,1.5506965,2.3717422
LAT,Stim8hr,5535,22,59.29553,-8.852013,5.9446487,3.0647435,-3.6909397
SENP5,Stim8hr,5171,22,10.022622,24.941526,17.511782,-17.975655,-3.3079784
PLCG1,Stim8hr,5032,22,56.146763,0.36870882,6.752096,4.3396807,0.43481687
ZAP70,Stim8hr,5021,22,82.35228,-9.573479,7.239491,-3.6673684,-7.6030912
CD3D,Stim8hr,4983,22,76.80026,-2.9314632,1.7284329,4.558294,-3.052937
LCP2,Stim8hr,4981,22,77.124664,-4.415961,3.0721831,3.222219,-9.22269
CD3G,Stim8hr,4965,22,67.857254,-6.3434186,9.489378,7.395353,-8.698167
VAV1,Stim8hr,4897,22,47.62,-9.440276,6.03827,3.0100925,-3.6679964
SGF29,Stim48hr,4868,28,-10.125448,5.3450704,16.717113,-0.049270794,-15.228281
TAF6L,Stim8hr,4638,22,10.089884,17.70255,22.032036,-12.440227,3.9565907
UBXN1,Rest,4439,33,-34.217525,20.220753,21.447775,16.871323,-6.7266245
SUPT7L,Stim8hr,4330,22,4.828902,15.686521,9.52892,-12.670636,-0.45279676
CD247,Stim8hr,4329,22,42.93909,-1.5119141,6.0722404,6.509508,-2.627962
ELOF1,Stim48hr,4257,5,-0.04756592,-10.055184,2.5568888,2.1988416,11.713406
MED12,Stim8hr,4141,22,17.383047,17.21189,12.795215,-35.68874,3.3746738
CCNC,Stim48hr,4090,28,-9.042098,3.9442425,15.068438,-6.209497,-13.338065
SUPT20H,Stim8hr,3947,22,5.726497,10.281827,17.529928,-15.085939,5.9677258
MED19,Stim8hr,3868,22,3.7319283,7.496187,14.006537,-20.250542,12.328424
ATAD5,Rest,3790,15,-5.243603,34.73697,0.49035156,4.9405546,1.6084499
BRD8,Stim8hr,3692,15,-2.6326125,21.422085,-14.6621,8.365983,-11.938392
BCAT2,Stim8hr,3677,22,44.42582,2.2901888,2.432611,3.5924997,-0.11269579
TADA1,Stim8hr,3648,22,4.894382,8.317088,14.90657,-17.322447,-0.2950037
DENR,Stim8hr,3636,15,1.2807323,10.555207,2.2798507,-3.1510437,-2.000049
PMVK,Stim48hr,3527,20,10.801293,-9.100572,-11.39567,-4.663823,-4.1405473
ATP2A2,Rest,3518,14,-11.538766,26.972752,-20.07654,-9.878646,5.3669467
BCL10,Stim8hr,3455,22,13.963443,6.5198226,-2.596296,-5.702618,12.157959
ITK,Stim8hr,3392,22,24.906258,-5.8058605,8.512601,2.7052207,3.1131926
TAF13,Stim8hr,3341,8,-2.4845839,4.8714814,-3.0375085,-12.718637,12.079889
SMARCE1,Stim8hr,3266,29,2.0165498,-11.5311575,0.61331314,10.688853,-35.277294
DOP1B,Stim48hr,3240,28,-21.107553,-4.2207484,10.723681,-0.6945343,-22.004103
PTPRC,Stim48hr,3225,22,15.463845,-1.6522424,-12.181879,4.5361624,20.98219
ELOB,Stim8hr,3051,15,7.7662244,26.59575,3.5458937,1.2901251,-9.046244
NFRKB,Rest,3019,29,-9.829292,-23.494207,4.3577075,-3.033468,-3.6030629
LEO1,Rest,3014,5,-7.6399007,-4.6090593,-12.046691,-8.950192,8.0569725
PGGT1B,Stim8hr,3013,22,39.78151,5.0578647,-6.101704,0.47818497,-5.540083
LRBA,Stim8hr,2992,22,31.860277,-4.8050046,4.8409386,7.476886,5.6656866
CREBBP,Stim8hr,2968,21,4.403423,-6.964558,5.563711,5.658581,-10.832961
