source_gene,target_gene,similarity
CD3E,PLCG1,0.9621
CD3E,LAT,0.9619
LAT,PLCG1,0.9601
LAT,ZAP70,0.9541
CD3E,ZAP70,0.9517
PLCG1,ZAP70,0.9495
TADA2B,TAF6L,0.9412
SUPT20H,TADA2B,0.9243
SUPT20H,TAF6L,0.9201
SUPT20H,TADA1,0.8988
TADA1,TAF6L,0.8781
TADA1,TADA2B,0.8762
CHD7,TADA2B,0.8723
LCK,PLCG1,0.8674
LAT,LCK,0.8591
TAF6L,TSPYL5,0.8574
TADA1,TSPYL5,0.8573
SUPT20H,TSPYL5,0.8566
SUPT20H,SUPT7L,0.8551
CD3E,LCK,0.8545
ARNT,TP53INP2,0.8543
TADA2B,TSPYL5,0.854
SUPT7L,TADA1,0.8516
UBXN1,ZMYM2,0.8499
PGGT1B,PLCG1,0.847
CHD7,SUPT20H,0.841
LCK,ZAP70,0.8408
LAT,PGGT1B,0.8366
SUPT7L,TADA2B,0.8362
SUPT7L,TAF6L,0.8357
FZD6,PLCG1,0.8336
CD3E,PGGT1B,0.8323
CHD7,TAF6L,0.831
PGGT1B,ZAP70,0.8294
NCKAP1L,UBXN1,0.8254
DYNC2H1,PPM1L,0.8215
MIPEP,TFAM,0.8208
DYNC2H1,ZMYM2,0.8193
CD3E,FZD6,0.8189
TAF11,TAF13,0.8138
DYNC2H1,UBXN1,0.8123
GABARAPL1,ZMYM2,0.8122
FZD6,LAT,0.8116
CHD7,TADA1,0.8065
SUPT7L,TSPYL5,0.8029
DYNC2H1,NCKAP1L,0.8028
DLG4,GABARAPL1,0.8028
FZD6,ZAP70,0.801
DDX1,RTRAF,0.7996
LAMTOR2,RRAGA,0.7987
NCKAP1L,ZMYM2,0.7985
PLCG1,UBE2E2,0.7974
DYNC2H1,GABARAPL1,0.7964
DLG4,INSR,0.7953
LCK,PGGT1B,0.795
DLG4,PPM1L,0.7931
PPM1L,ZMYM2,0.7921
MPI,SLC35B1,0.7919
INSR,ZMYM2,0.789
BPNT1,PPM1L,0.787
CHD7,SUPT7L,0.7862
GABARAPL1,PPM1L,0.786
FZD6,LCK,0.7843
PPM1L,UBXN1,0.7841
DLG4,ZMYM2,0.784
BPNT1,DLG4,0.7834
LAT,UBE2E2,0.7826
BPNT1,DYNC2H1,0.7823
GABARAPL1,INSR,0.7821
MED12,MED19,0.778
MED12,SENP5,0.7777
GABARAPL1,UBXN1,0.7775
INSR,UBXN1,0.7769
BPNT1,ZMYM2,0.7761
CD3E,UBE2E2,0.776
SMG1,SMG7,0.7759
DLG4,DYNC2H1,0.7753
BPNT1,GABARAPL1,0.7736
CHD7,TSPYL5,0.7707
INSR,PPM1L,0.768
DLG4,UBXN1,0.7678
BPNT1,UBXN1,0.7656
ITPR1,ZNF649,0.7639
NCKAP1L,PPM1L,0.7574
UBE2E2,ZAP70,0.7525
MED12,SUPT20H,0.7512
MED19,POGLUT3,0.7499
DYNC2H1,INSR,0.7491
DOLPP1,MPI,0.749
MED12,TADA2B,0.7461
COX6C,PDSS2,0.7459
PPM1L,TAOK2,0.7452
ARRDC1,ZNF649,0.7419
EIF1AX,NCAPG2,0.7418
FZD6,UBE2E2,0.741
ARRDC1,INSR,0.7394
GABARAPL1,NCKAP1L,0.7388
MED12,SUPT7L,0.7379
SENP5,TADA2B,0.737
BPNT1,INSR,0.7366
BPNT1,TAOK2,0.7363
TFAM,TWNK,0.7303
SENP5,TAF6L,0.7301
BPNT1,NCKAP1L,0.7293
DYNC2H1,TAOK2,0.7277
ARRDC1,UBXN1,0.7268
MED12,TAF6L,0.7216
ARRDC1,TAOK2,0.7201
ARRDC1,ZMYM2,0.7194
FZD6,PGGT1B,0.7184
ARRDC1,DYNC2H1,0.7181
TAOK2,UBXN1,0.7175
CHD7,MED12,0.7162
MED12,TADA1,0.7159
TM2D1,ZNF649,0.7134
MED19,SENP5,0.7118
DOP1B,TM2D1,0.7107
INSR,TAOK2,0.7095
INSR,ZNF649,0.7069
TAOK2,ZMYM2,0.7064
ARRDC1,PPM1L,0.7038
ITPR1,TM2D1,0.7019
DLG4,NCKAP1L,0.7007
ARRDC1,GABARAPL1,0.699
TAOK2,ZNF649,0.6986
ARRDC1,ITPR1,0.6974
SENP5,SUPT20H,0.6974
DOP1B,ZNF649,0.6951
LCK,UBE2E2,0.6912
OXA1L,TFAM,0.6889
MIPEP,OXA1L,0.6887
MED19,TADA2B,0.6879
DUSP22,ITPR1,0.6856
SENP5,UBE2L3,0.6854
ITPR1,TAOK2,0.6843
MIPEP,TWNK,0.6843
AHR,PPM1L,0.682
MED12,TSPYL5,0.6793
PGGT1B,UBE2E2,0.6788
INSR,NCKAP1L,0.6777
MED19,SUPT20H,0.6776
HCCS,PDSS2,0.6776
SENP5,STX16,0.6772
PPM1L,ZNF649,0.6761
EFR3A,PGGT1B,0.6747
SENP5,SUPT7L,0.6738
ARRDC1,TP53,0.672
AHR,UBXN1,0.6687
ARRDC1,CEP250,0.6684
CEP250,ZNF649,0.6671
INSR,ITPR1,0.6661
MED1,POGLUT3,0.666
MED19,TAF6L,0.6651
PDCL,ZNF649,0.6646
AHR,NCKAP1L,0.6643
ARFGEF2,ITPR1,0.6641
ITPR1,PPM1L,0.6627
CEP250,ITPR1,0.6626
DOP1B,PDCL,0.6608
AHR,GABARAPL1,0.6603
DOP1B,ITPR1,0.6594
ATP5PO,OXA1L,0.6591
AHR,ZMYM2,0.6588
CHD7,MED19,0.6583
CCNC,SGF29,0.6568
TAOK2,TM2D1,0.6526
CEP250,INSR,0.6526
MAGI3,ZNF649,0.6517
CEP250,TAOK2,0.6494
BPNT1,TM2D1,0.6488
MED12,POGLUT3,0.6482
BHLHE40,ZNF649,0.6476
CEP250,DLG4,0.6474
ARFGEF2,ARRDC1,0.6468
ATP5PO,MIPEP,0.6461
CEP250,DYNC2H1,0.6441
ITPR1,PDCL,0.6434
MED19,SUPT7L,0.6429
DUSP22,SOCS2,0.6426
AHR,DYNC2H1,0.6413
DHX36,KIFAP3,0.6408
CEP250,PPM1L,0.6404
SENP5,TSPYL5,0.64
ITPR1,TP53,0.638
EFR3A,PLCG1,0.6378
ARFGEF2,CRTC3,0.6378
AHR,DLG4,0.6364
ARRDC1,DUSP22,0.636
AHR,BPNT1,0.6359
ATP5PO,TWNK,0.6343
GLIPR2,SENP5,0.6341
ATP5PO,TFAM,0.6325
DUSP22,ZNF649,0.632
PPM1L,TM2D1,0.6279
TP53,ZNF649,0.626
ARFGEF2,CEP250,0.6252
ITPR1,SOCS2,0.625
ITPR1,PIK3C2A,0.6244
INSR,TM2D1,0.6227
