target_contrast_gene_name,rank,regpower_eb_mean,regpower_eb_sd,p_top_1pct,n_conditions,expected_downstream,shrinkage,n_signif_conditions,xcond_reproducibility,any_offtarget,donor_corr_hits_mean,donor_corr_hits_min,donor_robust
SGF29,1,2.5012,0.8956,0.8236,3,930.5,0.629,3,0.708,False,0.8499779996754208,0.8187470864893297,True
TADA2B,2,2.446,0.8956,0.8071,3,1240.2,0.629,3,0.791,True,0.8451168354079335,0.8266845700082824,True
SENP5,3,2.4291,0.8956,0.8019,3,865.8,0.629,3,0.541,False,0.7657609693192629,0.738648453950823,True
SUPT20H,4,2.3911,0.8956,0.7899,3,833.4,0.629,3,0.778,False,0.8109203478342618,0.7785413910576663,True
TADA1,5,2.3527,0.8956,0.7773,3,802.1,0.629,3,0.807,False,0.7816227256711904,0.7725222723126571,True
CCNC,6,2.2948,0.8956,0.7576,3,756.9,0.629,3,0.555,False,0.6555516208690544,0.6073298754355817,True
MED12,7,2.2839,0.8956,0.7538,3,748.7,0.629,3,0.494,False,0.8287922165059164,0.8121322780028447,True
NFRKB,8,2.265,0.8956,0.747,3,734.6,0.629,3,0.834,False,0.8345639980256337,0.8234993110493538,True
TAF6L,9,2.2397,0.8956,0.7379,3,1008.9,0.629,3,0.726,True,0.8509574254017558,0.8348930824286863,True
ARNT,10,2.2236,0.8956,0.7321,3,704.9,0.629,3,0.787,False,0.8681507876085462,0.8372040290288618,True
ATP2A2,11,2.2224,0.8956,0.7316,3,704.0,0.629,3,0.445,False,0.7867744594895628,0.7576572272145693,True
TAF13,12,2.1897,0.8956,0.7194,3,681.3,0.629,3,0.628,False,0.8111665817417123,0.7997627303876554,True
LEO1,13,2.1758,0.8956,0.7142,3,672.0,0.629,3,0.594,False,0.7511791874034467,0.7014134431925292,True
KDM1A,14,2.1629,0.8956,0.7093,3,663.3,0.629,3,0.693,False,0.8494166658177731,0.8423649206722434,True
ELOF1,15,2.1495,0.8956,0.7041,3,1094.1,0.629,3,0.775,True,0.7233466337207931,0.6681310315880465,True
SMARCE1,16,2.1436,0.8956,0.7018,3,650.6,0.629,3,0.485,False,0.7826997353792698,0.7706357343827016,True
ELOB,17,2.1128,0.8956,0.6898,3,630.9,0.629,3,0.488,False,0.6992483948159566,0.652763784229413,True
DENR,18,2.1044,0.8956,0.6865,3,625.6,0.629,3,0.408,False,0.6948710265696668,0.6873504361608536,True
ATAD5,19,2.1029,0.8956,0.6859,3,1044.2,0.629,3,0.917,True,0.8118954145972411,0.7993072128420612,True
SUPT7L,20,2.0977,0.8956,0.6838,3,1038.8,0.629,3,0.676,True,0.6834597423315899,0.6682647111342173,True
