gene,old_rank,new_rank,rank_shift,regpower_eb_mean,guide_corr,donor_corr,single_guide_frac,repro_weight,reweighted_score,donor_metadata,n_guides_med,peak_condition
TADA2B,2,1,1,2.446,0.659,0.847,0.0,0.766,1.8736,presente,2.0,Stim8hr
SGF29,1,2,-1,2.5012,0.563,0.815,0.0,0.709,1.7734,presente,2.0,Stim48hr
MED12,7,3,4,2.2839,0.531,0.829,0.0,0.7,1.5987,presente,2.0,Stim8hr
TAF6L,9,4,5,2.2397,0.566,0.821,0.0,0.713,1.5969,presente,2.0,Stim8hr
TADA1,5,5,0,2.3527,0.48,0.809,0.0,0.669,1.574,presente,2.0,Stim8hr
ARNT,10,6,4,2.2236,0.509,0.862,0.0,0.703,1.5632,presente,2.0,Stim48hr
KDM1A,14,7,7,2.1629,0.553,0.831,0.0,0.711,1.5378,presente,2.0,Stim48hr
SUPT20H,4,8,-4,2.3911,0.422,0.809,0.0,0.643,1.5375,presente,2.0,Stim8hr
ATAD5,19,9,10,2.1029,0.595,0.798,0.0,0.717,1.5078,presente,2.0,Rest
ATP2A2,11,10,1,2.2224,0.558,0.731,0.0,0.674,1.4979,presente,2.0,Rest
NFRKB,8,11,-3,2.265,0.399,0.834,0.0,0.642,1.4541,presente,2.0,Rest
SMARCE1,16,12,4,2.1436,,0.809,0.0,0.678,1.4534,presente,2.0,Stim8hr
TAF13,12,13,-1,2.1897,0.452,0.809,0.0,0.657,1.4386,presente,2.0,Stim8hr
SETDB1,37,14,23,1.8826,0.573,0.878,0.0,0.738,1.3894,presente,2.0,Rest
AHR,26,15,11,2.0783,0.444,0.825,0.0,0.659,1.3696,presente,2.0,Rest
CPSF6,31,16,15,2.0382,,0.766,0.0,0.662,1.3493,presente,2.0,Stim8hr
LEO1,13,17,-4,2.1758,0.383,0.767,0.0,0.611,1.3294,presente,2.0,Rest
CREBBP,25,18,7,2.0793,0.399,0.799,0.0,0.629,1.3079,presente,2.0,Stim8hr
DHX36,21,19,2,2.0928,0.389,0.795,0.0,0.623,1.3038,presente,2.0,Rest
NSD1,29,20,9,2.0439,0.434,0.724,0.0,0.618,1.2631,presente,2.0,Stim48hr
ELAVL1,22,21,1,2.0873,0.34,0.791,0.0,0.6,1.2524,presente,2.0,Stim8hr
WDR82,38,22,16,1.8802,0.426,0.849,0.0,0.659,1.2391,presente,2.0,Stim8hr
RPRD2,30,23,7,2.0414,0.35,0.761,0.0,0.594,1.2126,presente,2.0,Stim48hr
SUPT7L,20,24,-4,2.0977,0.366,0.682,0.0,0.575,1.2062,presente,2.0,Stim8hr
WAC,35,25,10,1.9464,0.363,0.816,0.0,0.619,1.2048,presente,2.0,Stim8hr
MED15,28,26,2,2.0454,0.322,0.776,0.0,0.587,1.2006,presente,2.0,Rest
