gene,selection_frequency_top30,median_rank,rank_iqr,n_appearances
SGF29,0.845,6.0,23.0,193
SENP5,0.718,8.0,29.0,188
SUPT20H,0.705,8.0,31.5,183
TAF6L,0.677,14.0,34.0,189
TADA2B,0.667,12.0,34.0,189
ATP2A2,0.642,19.0,35.2,190
CCNC,0.639,13.0,39.0,191
NFRKB,0.636,15.0,36.5,187
MED12,0.622,15.0,43.0,193
SMARCE1,0.621,21.0,39.2,190
ELOF1,0.616,23.5,46.0,190
ELOB,0.608,23.0,42.0,189
EIF4G2,0.602,25.0,53.0,191
SUPT7L,0.595,25.0,50.0,185
TAF13,0.59,21.0,53.0,188
KDM1A,0.589,20.0,49.8,190
TADA1,0.585,13.0,33.0,193
LEO1,0.579,23.0,40.5,190
ATAD5,0.554,29.0,50.0,193
SMG1,0.531,28.0,51.2,192
DHX36,0.529,28.0,55.0,189
DENR,0.528,28.0,46.0,193
ARNT,0.524,22.0,45.0,189
AHR,0.521,28.5,56.5,190
ELAVL1,0.518,29.0,52.0,191
RPRD2,0.497,31.0,54.0,189
USP22,0.497,31.0,52.0,193
CREBBP,0.486,31.0,54.0,185
CPSF6,0.484,33.0,60.2,188
MED15,0.465,34.0,62.5,187
NSD1,0.41,37.0,60.2,188
UBE2L3,0.385,42.0,71.0,187
UFM1,0.374,42.0,59.0,195
UBXN1,0.365,43.0,91.0,189
MTA2,0.335,45.0,67.0,191
WAC,0.335,46.0,63.0,191
SKIC8,0.333,41.5,75.5,186
WDR82,0.321,46.0,65.0,193
SMARCB1,0.314,52.0,75.0,191
VAV1,0.314,80.0,120.0,194
SETDB1,0.277,52.5,72.5,188
CHD7,0.267,55.0,89.0,191
YTHDF2,0.259,56.0,72.0,193
ATF7IP2,0.25,52.5,75.5,188
ZAP70,0.243,103.0,175.0,189
DOLPP1,0.24,58.0,112.0,192
DOP1B,0.235,79.0,111.0,187
PLCG1,0.229,185.5,722.5,192
NCKAP1L,0.222,71.0,107.0,189
PDSS2,0.216,62.5,79.0,190
SIN3B,0.212,56.0,70.0,193
MED24,0.211,51.5,73.5,194
PTPRC,0.211,128.0,258.0,190
SMG7,0.209,77.0,80.5,187
INTS10,0.205,61.5,76.8,190
KIFAP3,0.202,62.0,71.0,183
MED19,0.196,72.0,88.2,194
SMARCA5,0.192,117.5,191.0,182
UBR5,0.189,64.0,69.0,190
LAT,0.18,243.0,655.0,189
PTEN,0.173,88.0,116.0,185
CARMIL2,0.17,130.0,215.8,188
BCL10,0.168,497.0,1187.0,191
ITK,0.161,391.5,890.2,186
BHLHE40,0.153,76.0,117.5,190
STRAP,0.146,67.0,68.0,192
STAT3,0.145,72.0,81.0,186
CD3E,0.144,206.5,770.0,188
DNTTIP1,0.141,92.0,141.0,191
TAF11,0.14,68.0,86.5,186
USP7,0.134,66.5,75.5,194
POGLUT3,0.134,74.0,130.5,187
BRPF1,0.126,67.0,76.0,191
BTAF1,0.122,71.0,76.0,189
EIF1AX,0.119,167.0,121.0,126
LCP2,0.119,819.0,2456.0,177
NAA30,0.112,76.0,100.0,187
TFAM,0.112,108.0,139.5,187
RTRAF,0.109,79.0,91.0,192
CSDE1,0.109,84.0,101.0,193
TRAF3,0.108,83.0,99.0,186
BRD8,0.108,84.0,96.0,194
ARHGAP30,0.108,100.0,139.5,186
EWSR1,0.105,76.0,80.8,190
CASC3,0.091,67.0,69.0,187
TSPYL5,0.089,184.0,127.2,124
CD247,0.089,389.5,773.8,190
MYB,0.088,76.5,88.0,194
EHMT2,0.085,72.0,89.0,189
PDCL,0.085,75.0,79.2,188
HCCS,0.079,71.0,81.2,190
TMED9,0.079,89.0,103.5,190
STIP1,0.078,73.0,79.5,192
MEN1,0.077,89.0,130.0,194
PRKAR1A,0.074,79.0,78.2,188
PAXIP1,0.073,77.0,82.0,193
ATXN10,0.073,97.0,175.0,177
TMX1,0.072,385.5,1204.2,194
GATA3,0.069,85.0,96.0,189
TSC1,0.064,104.0,126.0,187
CD3G,0.064,439.5,800.8,188
NCOR1,0.063,80.0,84.0,189
GABPB1,0.063,81.0,80.0,191
NCAPG2,0.059,90.0,86.0,185
LCK,0.058,104.5,117.0,190
PGGT1B,0.056,190.0,404.0,177
ACLY,0.053,352.5,563.8,190
THAP11,0.048,95.0,131.0,189
MAEA,0.046,279.0,669.0,194
MOV10,0.042,93.0,96.5,191
TRIP12,0.042,97.0,112.0,191
MALT1,0.042,493.0,818.2,192
DOHH,0.038,116.0,140.5,184
PMVK,0.038,242.5,423.0,186
CALCOCO2,0.038,389.5,658.5,186
LRPPRC,0.037,98.0,104.8,190
FITM2,0.037,354.5,434.0,188
TP53INP2,0.036,153.0,149.0,169
FAM98B,0.031,83.0,79.0,191
TARS2,0.031,94.0,121.0,193
CHD4,0.031,101.0,132.0,193
CLCC1,0.031,163.0,134.5,194
MIPEP,0.031,189.0,216.0,193
CCND2,0.031,478.5,881.2,192
CD3D,0.029,736.5,1769.5,174
METTL1,0.027,100.5,83.2,184
INSR,0.027,181.0,141.5,184
EFR3A,0.027,321.5,567.8,184
CD28,0.027,406.0,726.0,186
ZNF613,0.022,91.0,89.5,183
FOXO1,0.022,108.5,87.8,186
CAND1,0.021,95.0,88.5,187
SP2,0.021,105.0,144.0,189
ATXN7L3,0.021,116.0,143.0,189
MAX,0.021,352.5,556.2,192
BCAT2,0.021,437.0,858.0,189
LRBA,0.021,604.0,992.5,192
SLC3A2,0.021,942.0,1281.5,195
FUBP1,0.016,100.0,99.5,192
TNPO1,0.016,100.5,102.5,190
CYB5R4,0.016,114.0,131.0,187
GPI,0.016,141.0,139.0,192
CDC25B,0.016,253.5,377.8,192
DUSP12,0.012,122.0,158.5,167
FAM89B,0.012,677.0,1358.5,167
CBFB,0.011,90.0,77.5,187
DDX6,0.011,103.0,95.8,182
STAT5B,0.011,110.0,101.2,188
THRAP3,0.011,139.5,139.2,190
MTG1,0.011,1182.5,1259.8,188
NDUFAF3,0.011,1591.0,1561.5,187
MCTS1,0.01,95.0,87.2,192
WDR59,0.01,107.0,108.0,191
UFL1,0.01,117.0,100.0,193
TIPRL,0.01,122.0,118.0,191
SEL1L,0.01,163.0,147.5,191
TESPA1,0.01,203.0,180.0,191
PPM1D,0.01,388.0,460.0,193
EIF4G1,0.006,119.0,158.0,175
PIM1,0.006,145.0,184.5,171
UBE2E2,0.006,288.5,475.0,180
PCGF1,0.005,104.5,89.0,196
STK11,0.005,120.0,135.2,192
SIK3,0.005,141.0,129.5,192
COX6C,0.005,156.0,120.0,188
PNPT1,0.005,185.0,192.0,193
DNAJC8,0.005,193.0,169.0,189
USO1,0.005,205.0,134.2,184
ZMYM2,0.005,211.0,277.5,187
PKM,0.005,360.0,402.0,192
NPC2,0.005,363.5,323.5,188
TEP1,0.005,661.0,1065.5,188
ARF1,0.005,799.0,1057.8,196
GRSF1,0.005,1294.5,1988.5,192
DDRGK1,0.0,101.0,89.5,191
CXXC1,0.0,113.0,93.0,192
C1D,0.0,117.0,96.0,193
INTS14,0.0,118.0,86.0,191
KMT5B,0.0,118.0,83.5,191
CFAP20,0.0,119.0,117.0,191
DCP2,0.0,122.0,96.0,193
KTI12,0.0,122.0,100.0,185
DPH5,0.0,131.0,120.2,194
UBR4,0.0,132.0,91.5,187
PCYT2,0.0,133.0,104.2,188
ZNF148,0.0,133.0,122.0,191
SRSF10,0.0,135.5,114.0,190
MMAB,0.0,136.0,114.0,189
CDK13,0.0,137.0,87.0,183
HAPSTR1,0.0,138.5,110.0,196
HMBS,0.0,140.0,112.0,193
SMG9,0.0,141.0,101.0,195
FNBP4,0.0,142.0,102.2,188
FBXO32,0.0,145.0,140.5,186
SMG8,0.0,145.5,99.8,190
BRK1,0.0,146.5,137.5,190
GDAP2,0.0,147.5,116.0,192
CUL3,0.0,149.0,103.2,190
NKAPD1,0.0,153.5,114.8,198
COG6,0.0,154.0,168.5,167
YY1,0.0,158.0,130.0,187
UPF2,0.0,158.5,104.0,188
UBE2I,0.0,162.0,109.0,193
BRMS1,0.0,164.0,139.8,194
CFAP298,0.0,164.0,144.2,178
NFKB2,0.0,164.0,101.0,193
MOSPD2,0.0,164.0,136.0,189
RB1CC1,0.0,165.0,112.0,194
ARIH1,0.0,165.0,126.0,191
DOCK2,0.0,168.0,146.5,187
IWS1,0.0,169.0,124.2,188
ARPC2,0.0,173.0,155.5,191
UVRAG,0.0,174.5,154.5,174
YEATS2,0.0,177.0,97.0,191
LAMTOR2,0.0,178.0,137.5,191
ACTR8,0.0,179.0,141.0,188
RPTOR,0.0,179.0,179.5,176
NRBP1,0.0,185.0,109.0,190
GLIPR2,0.0,186.0,176.0,183
STX16,0.0,186.0,136.5,190
MIOS,0.0,187.0,125.5,194
NUDCD1,0.0,187.0,183.0,189
CCNQ,0.0,189.0,115.0,189
BCS1L,0.0,190.5,160.8,194
RNF20,0.0,190.5,162.8,174
PPCS,0.0,191.0,201.0,168
BATF,0.0,192.0,110.0,189
TM2D1,0.0,192.0,138.5,191
CTDSPL2,0.0,193.5,113.0,190
ERCC4,0.0,196.0,161.0,191
ELP3,0.0,198.5,183.0,188
PPDPF,0.0,199.0,194.0,192
EIF1,0.0,200.0,117.5,183
FH,0.0,201.0,140.0,181
METAP2,0.0,202.0,146.0,193
INTS13,0.0,202.5,122.5,190
SCYL3,0.0,203.0,135.0,194
ARPC3,0.0,204.0,171.0,189
SAMD1,0.0,204.0,109.2,186
SAP130,0.0,206.0,122.8,194
UBAP2L,0.0,209.0,117.0,193
BPTF,0.0,210.0,110.0,193
MRC2,0.0,211.5,138.8,190
ELP2,0.0,213.0,123.0,193
RASGRP1,0.0,213.0,146.0,189
CNOT11,0.0,214.0,101.8,186
MBD2,0.0,214.0,163.0,193
EIF3H,0.0,216.0,150.5,190
C11orf54,0.0,216.5,169.0,192
SRR,0.0,220.0,128.5,191
SLC5A6,0.0,221.0,157.0,123
SLC35B1,0.0,223.0,238.5,191
UQCRB,0.0,224.0,129.0,189
GMEB1,0.0,225.5,132.0,186
INTS12,0.0,226.0,129.0,189
TMED10,0.0,226.0,132.0,191
CEP43,0.0,228.5,211.5,192
KPNA1,0.0,228.5,157.0,188
RRAGA,0.0,229.0,242.8,194
MYO9A,0.0,230.5,129.5,190
CCNA2,0.0,231.5,116.2,180
KMT2E,0.0,232.0,164.0,185
DLG4,0.0,233.0,141.0,133
ACTR5,0.0,234.0,129.0,189
L3MBTL2,0.0,234.0,108.0,189
XRCC2,0.0,235.0,123.0,187
EDC3,0.0,236.0,192.5,191
NCBP3,0.0,237.0,176.0,195
FZD6,0.0,242.0,141.0,119
MPI,0.0,243.5,269.2,192
CNOT4,0.0,248.0,213.2,192
PTPA,0.0,248.0,188.0,193
RHOA,0.0,248.0,146.5,131
ZNF554,0.0,249.5,174.5,192
CAMSAP1,0.0,250.0,176.5,188
RBM10,0.0,253.5,187.2,192
