ensembl,symbol,pearson_z,empirical_p,n_co_measured,class,kd_cd4_abs,kd_k562_ontarget_abs,min_kd_rank,well_powered,k562_cells,donor_robust,program
ENSG00000170385,SLC30A1,0.3645,0.0,6740,universal,13.722,0.326,0.2423,False,323,False,
ENSG00000108349,CASC3,0.3588,0.0,6740,universal,15.973,0.535,0.6266,True,244,True,
ENSG00000184634,MED12,0.3261,0.0,6738,universal,8.98,0.395,0.3865,False,186,True,
ENSG00000116698,SMG7,0.3175,0.0,6740,universal,4.598,0.578,0.0801,False,41,True,
ENSG00000174953,DHX36,0.3173,0.0,6740,universal,9.572,1.045,0.5035,True,435,True,
ENSG00000156603,MED19,0.2952,0.0,6740,universal,7.033,0.285,0.1557,False,299,True,
ENSG00000120686,UFM1,0.2806,0.0,6740,universal,24.904,0.92,0.9012,True,260,True,
ENSG00000087302,RTRAF,0.2708,0.0,6739,universal,10.647,1.184,0.5705,True,298,True,
ENSG00000014123,UFL1,0.2641,0.0,6740,universal,6.785,0.643,0.2937,False,473,True,
ENSG00000139726,DENR,0.2634,0.0,6740,universal,21.859,0.802,0.8507,True,400,True,
ENSG00000130165,ELOF1,0.2624,0.0,6733,universal,34.574,0.789,0.8432,True,248,True,
ENSG00000023734,STRAP,0.2598,0.0,6740,universal,13.623,1.069,0.7239,True,231,True,
ENSG00000178202,POGLUT3,0.2546,0.0033,6740,universal,7.053,0.41,0.3167,False,165,True,
ENSG00000140395,SKIC8,0.2511,0.0,6740,universal,5.333,0.639,0.1544,False,188,True,
ENSG00000104613,INTS10,0.2492,0.0,6740,universal,12.792,0.687,0.6863,True,148,True,
ENSG00000087157,PGS1,0.2398,0.0,6739,universal,6.447,0.356,0.2608,False,229,True,
ENSG00000105879,CBLL1,0.2301,0.0,6740,universal,10.162,0.364,0.3243,False,236,False,
ENSG00000100201,DDX17,0.2237,0.0,6740,universal,27.372,1.422,0.9752,True,254,True,
ENSG00000164091,WDR82,0.2225,0.0,6740,universal,18.747,0.543,0.6362,True,151,True,
ENSG00000112983,BRD8,0.2218,0.0,6740,universal,11.323,0.578,0.6125,True,127,True,
ENSG00000126698,DNAJC8,0.2215,0.0,6740,universal,23.618,1.325,0.9476,True,488,True,
ENSG00000170322,NFRKB,0.2209,0.0,6735,universal,16.022,0.397,0.3918,False,468,True,
ENSG00000101158,NELFCD,0.2195,0.0,6739,universal,8.583,0.826,0.4334,False,431,False,
ENSG00000129932,DOHH,0.2189,0.0,6739,universal,8.024,0.551,0.3921,False,305,True,
ENSG00000155463,OXA1L,0.2177,0.0,6740,universal,20.697,0.801,0.8505,True,246,True,
ENSG00000138614,INTS14,0.2135,0.0,6740,universal,6.221,0.391,0.24,False,183,True,
ENSG00000173418,NAA20,0.2107,0.0,6740,universal,5.421,0.749,0.1626,False,290,True,
ENSG00000151461,UPF2,0.2072,0.0,6740,universal,6.92,0.538,0.304,False,351,True,
ENSG00000170802,FOXN2,0.206,0.0,6736,universal,23.71,0.364,0.3241,False,232,True,
ENSG00000112237,CCNC,0.2044,0.0,6740,universal,31.161,0.915,0.8991,True,237,True,
ENSG00000243725,TTC4,0.2044,0.0,6740,universal,4.563,0.6,0.0755,False,172,True,
ENSG00000111605,CPSF6,0.2035,0.0,6740,universal,8.087,0.881,0.3969,False,89,True,
ENSG00000111300,NAA25,0.2017,0.0,6739,universal,3.377,0.501,0.0253,False,204,True,
ENSG00000168286,THAP11,0.1952,0.0,6740,universal,13.877,0.488,0.5557,True,158,True,
ENSG00000197780,TAF13,0.1944,0.0,6740,universal,17.356,0.352,0.2959,False,71,True,
ENSG00000064995,TAF11,0.193,0.0,6740,universal,21.054,0.872,0.8798,True,151,True,
ENSG00000147677,EIF3H,0.1921,0.0,6739,universal,11.243,1.524,0.609,True,291,True,
ENSG00000166477,LEO1,0.1914,0.0,6740,universal,11.244,0.49,0.5586,True,97,True,
ENSG00000111142,METAP2,0.1908,0.0067,6740,universal,11.459,1.242,0.6192,True,271,True,
ENSG00000164758,MED30,0.1899,0.0,6740,universal,6.306,0.38,0.2485,False,114,False,
ENSG00000104064,GABPB1,0.1874,0.0,6740,universal,8.736,0.231,0.0813,False,154,True,
ENSG00000075568,TMEM131,0.1871,0.0,6740,universal,18.054,0.493,0.5637,True,310,True,
ENSG00000156467,UQCRB,0.1863,0.0,6740,universal,13.666,1.758,0.7261,True,208,True,
ENSG00000102710,SUPT20H,0.1863,0.0,6740,universal,20.273,0.631,0.7386,True,224,True,factor6(activation+SAGA)
ENSG00000132294,EFR3A,0.1844,0.0033,6740,universal,8.835,0.355,0.3032,False,48,True,
ENSG00000139977,NAA30,0.184,0.0,6736,universal,6.935,,0.3053,False,365,True,
ENSG00000064102,INTS13,0.1824,0.0,6740,universal,14.604,0.597,0.7046,True,117,True,
ENSG00000167447,SMG8,0.1819,0.0,6740,universal,10.555,0.364,0.3245,False,174,True,
ENSG00000143742,SRP9,0.1811,0.0,6740,universal,6.025,1.6,0.2223,False,324,True,
ENSG00000178982,EIF3K,0.1806,0.0,6740,universal,22.466,2.133,0.9385,True,138,True,
ENSG00000129911,KLF16,0.1803,0.0,6739,universal,5.655,0.176,0.046,False,137,True,
ENSG00000164405,UQCRQ,0.1801,0.0067,6740,universal,8.178,1.322,0.4032,False,189,True,
ENSG00000106803,SEC61B,0.1786,0.0,6739,universal,4.683,1.39,0.0887,False,244,True,
ENSG00000188529,SRSF10,0.178,0.0,6740,universal,9.691,1.377,0.5137,True,248,True,
ENSG00000101413,RPRD1B,0.1774,0.0,6740,universal,3.295,0.44,0.0228,False,64,True,
ENSG00000095564,BTAF1,0.1762,0.0,6740,universal,16.473,0.367,0.3296,False,161,True,
ENSG00000213593,TMX2,0.176,0.0033,6740,universal,7.202,0.788,0.3292,False,111,True,
ENSG00000113812,ACTR8,0.1751,0.0,6737,universal,7.644,0.429,0.3655,False,408,True,
ENSG00000172795,DCP2,0.1746,0.0033,6740,universal,9.443,0.919,0.4948,False,241,True,
ENSG00000009307,CSDE1,0.1743,0.0033,6740,universal,25.938,1.54,0.9668,True,124,True,
ENSG00000149084,HSD17B12,0.1734,0.0,6740,universal,1.134,0.641,0.0053,False,137,False,
