gene,is_ISG,n_autoimmune_diseases,gwas_SLE,gwas_RA,gwas_MS,gwas_Sjogren,gwas_T1D,max_genetic_score
STAT4,False,5,0.714,0.816,0.61,0.632,0.432,0.816
IKZF3,False,4,0.161,0.237,0.095,0.0,0.122,0.237
RASGRP3,False,2,0.722,0.0,0.0,0.0,0.111,0.722
ANXA1,False,2,0.0,0.042,0.0,0.0,0.517,0.517
OAS3,True,2,0.339,0.0,0.0,0.0,0.04,0.339
GPR18,False,2,0.07,0.091,0.0,0.0,0.0,0.091
MAML2,False,2,0.0,0.073,0.04,0.0,0.0,0.073
YPEL5,False,2,0.052,0.059,0.0,0.0,0.0,0.059
EVI5,False,1,0.0,0.0,0.741,0.0,0.0,0.741
NOD2,False,1,0.0,0.667,0.0,0.0,0.0,0.667
GPD2,False,1,0.605,0.0,0.0,0.0,0.0,0.605
ZNF704,False,1,0.0,0.523,0.0,0.0,0.0,0.523
NCF4,False,1,0.0,0.0,0.47,0.0,0.0,0.47
MSRA,False,1,0.429,0.0,0.0,0.0,0.0,0.429
OAS1,True,1,0.407,0.0,0.0,0.0,0.0,0.407
CASP10,False,1,0.0,0.394,0.0,0.0,0.0,0.394
NRP2,False,1,0.0,0.203,0.0,0.0,0.0,0.203
DPYSL2,False,1,0.0,0.0,0.0,0.199,0.0,0.199
EXTL2,False,1,0.0,0.0,0.119,0.0,0.0,0.119
GLRX,False,1,0.0,0.0,0.0,0.107,0.0,0.107
IL3,False,1,0.0,0.077,0.0,0.0,0.0,0.077
CLEC2B,False,1,0.0,0.0,0.067,0.0,0.0,0.067
EPSTI1,True,1,0.0,0.066,0.0,0.0,0.0,0.066
ACTN1,False,1,0.0,0.0,0.0,0.0,0.063,0.063
MIEN1,False,1,0.045,0.0,0.0,0.0,0.0,0.045
CD27,False,1,0.0,0.0,0.044,0.0,0.0,0.044
PLAT,False,1,0.042,0.0,0.0,0.0,0.0,0.042
ACSL6,False,1,0.0,0.039,0.0,0.0,0.0,0.039
EVI2A,False,1,0.0,0.0,0.0,0.0,0.034,0.034
EVI2B,False,1,0.0,0.0,0.0,0.0,0.034,0.034
RGS16,False,1,0.0,0.0,0.033,0.0,0.0,0.033
