regulator,community,community_stability,regulator_stability,is_stable,donor_robust,in_cisclean
ACAD9,7,0.8693,0.9252,True,True,True
ACOT7,7,0.8693,0.7152,True,True,True
ACP2,7,0.8693,0.6287,True,False,False
ADPRM,7,0.8693,0.9252,True,True,False
AURKAIP1,7,0.8693,0.9252,True,False,True
C1GALT1C1,7,0.8693,0.8584,True,False,True
CCDC127,7,0.8693,0.9226,True,False,True
CCDC90B,7,0.8693,0.571,True,True,True
COA4,7,0.8693,0.9252,True,False,False
COA6,7,0.8693,0.8897,True,True,True
COX15,7,0.8693,0.8851,True,True,True
COX18,7,0.8693,0.9252,True,True,True
COX6A1,7,0.8693,0.9073,True,False,True
CWC27,7,0.8693,0.747,True,False,False
CYB5R1,7,0.8693,0.8559,True,False,True
DLG1,7,0.8693,0.9252,True,False,True
DSTYK,7,0.8693,0.9252,True,False,True
EGLN1,7,0.8693,0.848,True,True,True
EMC8,7,0.8693,0.9252,True,False,False
ENTPD7,7,0.8693,0.9245,True,False,True
EOGT,7,0.8693,0.9003,True,False,True
EVL,7,0.8693,0.9252,True,False,True
FASTKD5,7,0.8693,0.9252,True,True,False
FBXW8,7,0.8693,0.9252,True,False,True
FNDC3B,7,0.8693,0.6142,True,False,True
GFM1,7,0.8693,0.9252,True,False,True
GRSF1,7,0.8693,0.9058,True,True,True
GTPBP10,7,0.8693,0.9252,True,True,True
HACD2,7,0.8693,0.7095,True,True,True
HDGFL2,7,0.8693,0.6576,True,False,True
KIFC1,7,0.8693,0.9245,True,False,True
MAPK8,7,0.8693,0.9252,True,False,True
MCAT,7,0.8693,0.9058,True,True,True
MDH2,7,0.8693,0.9252,True,True,False
ME2,7,0.8693,0.8966,True,False,True
METTL17,7,0.8693,0.8851,True,True,True
MIEF1,7,0.8693,0.5309,True,False,True
MIGA2,7,0.8693,0.9252,True,False,True
MIPEP,7,0.8693,0.9252,True,True,True
MPRIP,7,0.8693,0.9218,True,False,True
MRM2,7,0.8693,0.9252,True,True,True
MTRF1L,7,0.8693,0.9252,True,False,True
NDUFA10,7,0.8693,0.9242,True,True,True
NDUFA4,7,0.8693,0.9252,True,False,True
NDUFAF3,7,0.8693,0.9252,True,True,True
NDUFAF6,7,0.8693,0.9252,True,True,True
NDUFB11,7,0.8693,0.9252,True,True,False
NDUFB6,7,0.8693,0.9252,True,True,True
NDUFS2,7,0.8693,0.9252,True,True,True
NDUFS7,7,0.8693,0.9252,True,True,True
NDUFV1,7,0.8693,0.9252,True,True,True
NDUFV2,7,0.8693,0.9252,True,False,True
NUBPL,7,0.8693,0.9252,True,True,True
PAAF1,7,0.8693,0.8797,True,False,False
PMM1,7,0.8693,0.9242,True,False,True
PYURF,7,0.8693,0.9167,True,False,True
RAB29,7,0.8693,0.9234,True,False,True
RALGAPA1,7,0.8693,0.7525,True,False,True
RCC1L,7,0.8693,0.9252,True,True,True
RPUSD2,7,0.8693,0.9058,True,False,False
RPUSD3,7,0.8693,0.9252,True,True,True
RTN4IP1,7,0.8693,0.9252,True,True,False
SFXN4,7,0.8693,0.7304,True,False,True
SIGMAR1,7,0.8693,0.8008,True,False,True
SLC25A1,7,0.8693,0.9245,True,True,True
SLC25A3,7,0.8693,0.6305,True,False,True
SLC25A51,7,0.8693,0.9252,True,True,True
SLC35B3,7,0.8693,0.8407,True,False,True
SLC66A1,7,0.8693,0.8335,True,False,False
SLC9A6,7,0.8693,0.9252,True,True,True
ST7,7,0.8693,0.6702,True,False,True
SUCLG1,7,0.8693,0.9252,True,True,True
TATDN1,7,0.8693,0.9252,True,False,False
TDG,7,0.8693,0.673,True,False,True
TFAM,7,0.8693,0.9252,True,True,True
THAP3,7,0.8693,0.9252,True,False,True
TMEM126A,7,0.8693,0.9252,True,False,True
TMEM161B,7,0.8693,0.8983,True,False,True
TP53I13,7,0.8693,0.9252,True,False,True
TRUB2,7,0.8693,0.9252,True,True,False
TSFM,7,0.8693,0.9252,True,True,True
TWNK,7,0.8693,0.9252,True,True,True
UBE3C,7,0.8693,0.9252,True,False,True
VCL,7,0.8693,0.7147,True,False,True
VHL,7,0.8693,0.899,True,True,True
YY1,7,0.8693,0.7283,True,True,True
ZNF614,7,0.8693,0.7478,True,False,True
ABTB3,5,0.8351,0.7957,True,False,True
ACAT1,5,0.8351,0.8131,True,False,True
ADD1,5,0.8351,0.8691,True,False,True
AMPD2,5,0.8351,0.8835,True,False,True
ANKRD13C,5,0.8351,0.8835,True,False,False
ANTKMT,5,0.8351,0.8835,True,False,False
AP3M1,5,0.8351,0.8743,True,False,True
AP3M2,5,0.8351,0.5146,True,False,True
APMAP,5,0.8351,0.8759,True,False,True
APOBR,5,0.8351,0.6812,True,False,False
ARK2N,5,0.8351,0.8835,True,False,True
ASF1A,5,0.8351,0.8706,True,False,True
ATM,5,0.8351,0.8835,True,True,True
ATP7A,5,0.8351,0.8738,True,False,True
AUH,5,0.8351,0.8835,True,False,True
BBLN,5,0.8351,0.8835,True,False,True
BBS2,5,0.8351,0.6628,True,False,True
BRI3BP,5,0.8351,0.8769,True,False,True
BTN2A1,5,0.8351,0.8158,True,False,True
C8orf76,5,0.8351,0.8695,True,False,True
CARD6,5,0.8351,0.8658,True,True,True
CCR2,5,0.8351,0.5869,True,False,True
CD48,5,0.8351,0.8721,True,False,True
CD55,5,0.8351,0.5668,True,False,True
CD99,5,0.8351,0.8835,True,False,True
CDKN2C,5,0.8351,0.8669,True,False,True
CEBPB,5,0.8351,0.8835,True,False,True
CENPV,5,0.8351,0.8835,True,False,True
CHD2,5,0.8351,0.4953,True,False,True
CHRAC1,5,0.8351,0.8713,True,False,True
CILK1,5,0.8351,0.8753,True,False,True
CRYL1,5,0.8351,0.7496,True,False,True
DGAT1,5,0.8351,0.8722,True,False,True
DHFR2,5,0.8351,0.5342,True,False,False
DHX34,5,0.8351,0.8835,True,False,True
DNAJC19,5,0.8351,0.8364,True,False,True
DRAP1,5,0.8351,0.8658,True,False,False
EBP,5,0.8351,0.8724,True,False,True
EIF4EBP2,5,0.8351,0.8689,True,False,True
ERAP2,5,0.8351,0.8706,True,False,True
ERBIN,5,0.8351,0.7468,True,False,True
ERO1B,5,0.8351,0.7015,True,False,True
EVI2A,5,0.8351,0.8755,True,False,True
FAM111A,5,0.8351,0.4442,True,False,True
FAM76A,5,0.8351,0.8835,True,False,True
FARP2,5,0.8351,0.8749,True,False,True
FBXL15,5,0.8351,0.8371,True,False,True
G0S2,5,0.8351,0.8706,True,False,True
GDAP1,5,0.8351,0.87,True,False,True
GIT1,5,0.8351,0.8766,True,False,False
GLRX5,5,0.8351,0.7565,True,False,True
GOLGA8B,5,0.8351,0.8811,True,False,True
GPANK1,5,0.8351,0.8835,True,False,False
GRHPR,5,0.8351,0.8835,True,False,True
GRINA,5,0.8351,0.8728,True,False,True
H2AJ,5,0.8351,0.8781,True,False,False
HMGN3,5,0.8351,0.6791,True,False,True
HPS1,5,0.8351,0.8835,True,False,True
HSD17B4,5,0.8351,0.878,True,False,True
HSDL2,5,0.8351,0.867,True,False,True
HSPA1L,5,0.8351,0.8748,True,False,True
HSPH1,5,0.8351,0.8835,True,False,True
IFFO2,5,0.8351,0.8706,True,False,True
IFT172,5,0.8351,0.8781,True,False,True
ITGB3BP,5,0.8351,0.6385,True,False,False
ITGB7,5,0.8351,0.8759,True,False,True
KIF21A,5,0.8351,0.8737,True,False,True
KIF3A,5,0.8351,0.8835,True,False,True
KIFAP3,5,0.8351,0.8835,True,True,True
KPNA1,5,0.8351,0.8601,True,False,True
KRBA2,5,0.8351,0.8658,True,False,True
LAMP1,5,0.8351,0.8383,True,False,True
LAT2,5,0.8351,0.8835,True,False,True
LCORL,5,0.8351,0.8757,True,False,True
LRRC41,5,0.8351,0.8835,True,False,False
LY96,5,0.8351,0.8669,True,False,True
LYSMD2,5,0.8351,0.8682,True,False,True
LYST,5,0.8351,0.8783,True,False,True
MAP7D1,5,0.8351,0.8835,True,False,True
MAP9,5,0.8351,0.8658,True,False,True
MAPK1,5,0.8351,0.8691,True,False,True
MCCC2,5,0.8351,0.8835,True,False,True
MESD,5,0.8351,0.8835,True,False,True
MINDY2,5,0.8351,0.7191,True,False,True
