rank,r2_model,r2_persistence,beats_persistence,r2_model_novel,r2_persistence_novel,beats_persistence_novel,n_test,n_test_novel
1,0.027696334436375314,-0.1761879806028861,True,0.027696334436375314,-0.1761879806028861,True,160,160
2,0.05271041500650209,-0.1761879806028861,True,0.05271041500650209,-0.1761879806028861,True,160,160
3,0.06429187773249989,-0.1761879806028861,True,0.06429187773249989,-0.1761879806028861,True,160,160
4,0.10169259397279251,-0.1761879806028861,True,0.10169259397279251,-0.1761879806028861,True,160,160
5,0.08870319141869987,-0.1761879806028861,True,0.08870319141869987,-0.1761879806028861,True,160,160
6,0.10043422488746157,-0.1761879806028861,True,0.10043422488746157,-0.1761879806028861,True,160,160
7,0.12320560021309623,-0.1761879806028861,True,0.12320560021309623,-0.1761879806028861,True,160,160
8,0.10296938359141294,-0.1761879806028861,True,0.10296938359141294,-0.1761879806028861,True,160,160
9,0.11715232395544839,-0.1761879806028861,True,0.11715232395544839,-0.1761879806028861,True,160,160
10,0.14521933408920373,-0.1761879806028861,True,0.14521933408920373,-0.1761879806028861,True,160,160
11,0.15448507946563916,-0.1761879806028861,True,0.15448507946563916,-0.1761879806028861,True,160,160
12,0.14535448055697597,-0.1761879806028861,True,0.14535448055697597,-0.1761879806028861,True,160,160
