rank,r2_vs_geneMean,r2_vs_rank1,beats_rank1
1,0.1058612355186549,5.040412531798211e-13,False
2,0.16532356985532548,0.06650235589727849,True
3,0.20354644875206995,0.10925061871182806,True
4,0.23139205465536417,0.14039299505140257,True
5,0.2528159399648259,0.16435335351083924,True
6,0.27292868253133695,0.18684733695665,True
7,0.28781693894320126,0.20349828309977225,True
8,0.30200154419250824,0.21936226955552973,True
9,0.31503145273513333,0.23393484940579123,True
10,0.3265220980397101,0.2467859255038466,True
11,0.3375024339742049,0.25906627433858087,True
12,0.34623694611514155,0.26883490588426584,True
