stratum,rank,n_seeds,mean_margin,sd_margin,mean_r2_model,mean_r2_persistence
all_novel,1,20,0.3257,0.0088,0.0029,-0.3229
all_novel,2,20,0.3536,0.0097,0.0307,-0.3229
all_novel,3,20,0.3451,0.0097,0.0222,-0.3229
all_novel,4,20,0.3582,0.0099,0.0353,-0.3229
all_novel,5,20,0.3604,0.0113,0.0375,-0.3229
all_novel,6,20,0.3715,0.0107,0.0486,-0.3229
all_novel,7,20,0.3824,0.0114,0.0595,-0.3229
all_novel,8,20,0.3602,0.0118,0.0374,-0.3229
all_novel,9,20,0.3597,0.0132,0.0368,-0.3229
all_novel,10,20,0.3629,0.0137,0.04,-0.3229
all_novel,11,20,0.3523,0.0129,0.0295,-0.3229
all_novel,12,20,0.3563,0.0142,0.0334,-0.3229
strong,1,20,0.2236,0.0181,0.005,-0.2186
strong,2,20,0.2446,0.0187,0.026,-0.2186
strong,3,20,0.2386,0.018,0.0199,-0.2186
strong,4,20,0.2497,0.0175,0.031,-0.2186
strong,5,20,0.252,0.017,0.0334,-0.2186
strong,6,20,0.2626,0.0168,0.0439,-0.2186
strong,7,20,0.2767,0.0176,0.058,-0.2186
strong,8,20,0.2578,0.0188,0.0391,-0.2186
strong,9,20,0.255,0.0209,0.0364,-0.2186
strong,10,20,0.2593,0.0209,0.0406,-0.2186
strong,11,20,0.248,0.0203,0.0294,-0.2186
strong,12,20,0.2508,0.0207,0.0322,-0.2186
strong_panel_matched,1,20,0.1533,0.0195,0.0031,-0.1501
strong_panel_matched,2,20,0.1687,0.0194,0.0186,-0.1501
strong_panel_matched,3,20,0.1661,0.021,0.016,-0.1501
strong_panel_matched,4,20,0.1773,0.0211,0.0271,-0.1501
strong_panel_matched,5,20,0.1819,0.0195,0.0318,-0.1501
strong_panel_matched,6,20,0.192,0.0191,0.0418,-0.1501
strong_panel_matched,7,20,0.2059,0.0205,0.0557,-0.1501
strong_panel_matched,8,20,0.1887,0.0211,0.0385,-0.1501
strong_panel_matched,9,20,0.1893,0.0231,0.0392,-0.1501
strong_panel_matched,10,20,0.1941,0.0232,0.044,-0.1501
strong_panel_matched,11,20,0.1844,0.0231,0.0342,-0.1501
strong_panel_matched,12,20,0.1867,0.022,0.0366,-0.1501
weak,1,20,0.453,0.0163,0.0002,-0.4528
weak,2,20,0.4894,0.0159,0.0366,-0.4528
weak,3,20,0.4778,0.0143,0.025,-0.4528
weak,4,20,0.4934,0.0179,0.0406,-0.4528
weak,5,20,0.4955,0.0194,0.0427,-0.4528
weak,6,20,0.5071,0.0164,0.0543,-0.4528
weak,7,20,0.5141,0.015,0.0613,-0.4528
weak,8,20,0.4879,0.016,0.0351,-0.4528
weak,9,20,0.4901,0.0181,0.0373,-0.4528
weak,10,20,0.492,0.0175,0.0392,-0.4528
weak,11,20,0.4823,0.0182,0.0295,-0.4528
weak,12,20,0.4876,0.0189,0.0348,-0.4528
