stratum,n_regulators,rank,r2_model,r2_persistence,margin
all_novel,621,1,0.006,-0.3046,0.3106
strong,311,1,0.0082,-0.2085,0.2167
weak,310,1,0.0034,-0.4206,0.424
strong_panel_matched,203,1,0.0045,-0.1461,0.1506
all_novel,621,2,0.0404,-0.3046,0.345
strong,311,2,0.0375,-0.2085,0.246
weak,310,2,0.0439,-0.4206,0.4645
strong_panel_matched,203,2,0.031,-0.1461,0.1772
all_novel,621,3,0.0321,-0.3046,0.3367
strong,311,3,0.0336,-0.2085,0.2421
weak,310,3,0.0302,-0.4206,0.4507
strong_panel_matched,203,3,0.0277,-0.1461,0.1738
all_novel,621,4,0.0464,-0.3046,0.3509
strong,311,4,0.0481,-0.2085,0.2566
weak,310,4,0.0442,-0.4206,0.4647
strong_panel_matched,203,4,0.039,-0.1461,0.1851
all_novel,621,5,0.0473,-0.3046,0.3519
strong,311,5,0.0501,-0.2085,0.2585
weak,310,5,0.0439,-0.4206,0.4644
strong_panel_matched,203,5,0.043,-0.1461,0.1891
all_novel,621,6,0.0606,-0.3046,0.3651
strong,311,6,0.0596,-0.2085,0.2681
weak,310,6,0.0616,-0.4206,0.4822
strong_panel_matched,203,6,0.0503,-0.1461,0.1964
all_novel,621,7,0.074,-0.3046,0.3786
strong,311,7,0.0688,-0.2085,0.2773
weak,310,7,0.0802,-0.4206,0.5008
strong_panel_matched,203,7,0.0584,-0.1461,0.2046
all_novel,621,8,0.0569,-0.3046,0.3615
strong,311,8,0.051,-0.2085,0.2595
weak,310,8,0.0639,-0.4206,0.4845
strong_panel_matched,203,8,0.0416,-0.1461,0.1878
all_novel,621,9,0.048,-0.3046,0.3526
strong,311,9,0.0522,-0.2085,0.2607
weak,310,9,0.043,-0.4206,0.4635
strong_panel_matched,203,9,0.0474,-0.1461,0.1935
all_novel,621,10,0.0513,-0.3046,0.3558
strong,311,10,0.056,-0.2085,0.2645
weak,310,10,0.0454,-0.4206,0.466
strong_panel_matched,203,10,0.0511,-0.1461,0.1972
all_novel,621,11,0.0369,-0.3046,0.3415
strong,311,11,0.0403,-0.2085,0.2488
weak,310,11,0.0328,-0.4206,0.4534
strong_panel_matched,203,11,0.0402,-0.1461,0.1863
all_novel,621,12,0.0308,-0.3046,0.3354
strong,311,12,0.0345,-0.2085,0.243
weak,310,12,0.0263,-0.4206,0.4469
strong_panel_matched,203,12,0.0405,-0.1461,0.1867
