factor,set_name,n_overlap,set_size,n_drawn,background_size,pvalue,overlap_genes,fdr
1,IFN_ISG,0,11,50,2000,1.0,,1.0
1,TCR_PROXIMAL,0,10,50,2000,1.0,,1.0
1,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
1,MEDIATOR,0,4,50,2000,1.0,,1.0
2,IFN_ISG,0,11,50,2000,1.0,,1.0
2,TCR_PROXIMAL,0,10,50,2000,1.0,,1.0
2,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
2,MEDIATOR,0,4,50,2000,1.0,,1.0
3,CHROMATIN_SAGA,1,6,50,2000,0.1410971958704532,KAT2B,0.48722811272473293
3,IFN_ISG,1,11,50,2000,0.24361405636236647,OAS3,0.48722811272473293
3,TCR_PROXIMAL,0,10,50,2000,1.0,,1.0
3,MEDIATOR,0,4,50,2000,1.0,,1.0
4,IFN_ISG,0,11,50,2000,1.0,,1.0
4,TCR_PROXIMAL,0,10,50,2000,1.0,,1.0
4,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
4,MEDIATOR,0,4,50,2000,1.0,,1.0
5,IFN_ISG,0,11,50,2000,1.0,,1.0
5,TCR_PROXIMAL,0,10,50,2000,1.0,,1.0
5,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
5,MEDIATOR,0,4,50,2000,1.0,,1.0
6,IFN_ISG,0,11,50,2000,1.0,,1.0
6,TCR_PROXIMAL,0,10,50,2000,1.0,,1.0
6,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
6,MEDIATOR,0,4,50,2000,1.0,,1.0
