source,target,condition,subsumption_frac
TADA2B,ELAVL1,Rest,0.6464339908952959
TADA2B,ARNT,Rest,0.6581986143187067
TADA2B,NSD1,Rest,0.6651917404129793
TADA2B,USP22,Rest,0.7075098814229249
TADA2B,AACS,Rest,0.6991869918699187
TADA2B,ABCA5,Rest,0.8098591549295775
TADA2B,ABCC1,Rest,0.6694915254237288
TADA2B,ACACA,Rest,0.5957446808510638
TADA2B,ADNP,Rest,0.7213930348258707
TADA2B,ADNP2,Rest,0.6551724137931034
TADA2B,AHR,Rest,0.6130030959752322
TADA2B,AHSA1,Rest,0.6129032258064516
TADA2B,AK3,Rest,0.6852459016393443
TADA2B,AKAP17A,Rest,0.6388888888888888
TADA2B,ANKRD11,Rest,0.7208121827411168
TADA2B,ANKRD27,Rest,0.6564102564102564
TADA2B,ANTKMT,Rest,0.6666666666666666
TADA2B,APEX1,Rest,0.6515151515151515
TADA2B,APMAP,Rest,0.6853146853146853
TADA2B,APOBEC3B,Rest,0.6363636363636364
TADA2B,ARHGAP15,Rest,0.6352201257861635
TADA2B,ARHGAP30,Rest,0.5928853754940712
TADA2B,ARID5A,Rest,0.6325581395348837
TADA2B,ARIH2,Rest,0.5878787878787879
TADA2B,ARL8B,Rest,0.5714285714285714
TADA2B,ARMC8,Rest,0.7102803738317757
TADA2B,ARRB1,Rest,0.5915492957746479
TADA2B,ASXL1,Rest,0.6054054054054054
TADA2B,ATAD5,Rest,0.6742424242424242
TADA2B,ATF7IP,Rest,0.6101694915254238
TADA2B,ATG12,Rest,0.6972010178117048
TADA2B,ATM,Rest,0.6755725190839694
TADA2B,B4GALT5,Rest,0.6176470588235294
TADA2B,BCL9L,Rest,0.6728624535315985
TADA2B,BCOR,Rest,0.6686746987951807
TADA2B,BHLHE40,Rest,0.6938325991189427
TADA2B,BRD7,Rest,0.6824324324324325
TADA2B,BRMS1,Rest,0.6917808219178082
TADA2B,BTAF1,Rest,0.6676783004552352
TADA2B,BZW2,Rest,0.6276595744680851
TADA2B,C16orf87,Rest,0.6092436974789915
TADA2B,C6orf120,Rest,0.5968586387434555
TADA2B,C8orf33,Rest,0.6408839779005525
TADA2B,CAB39,Rest,0.6119402985074627
TADA2B,CALM1,Rest,0.5357142857142857
TADA2B,CAND1,Rest,0.6593220338983051
TADA2B,CARM1,Rest,0.6625514403292181
TADA2B,CARNMT1,Rest,0.6493506493506493
TADA2B,CASP3,Rest,0.6629213483146067
ELAVL1,TADA2B,Rest,0.3302325581395349
ELAVL1,ARNT,Rest,0.3244803695150115
ELAVL1,NSD1,Rest,0.3407079646017699
ELAVL1,USP22,Rest,0.3346508563899868
ELAVL1,AACS,Rest,0.3089430894308943
ELAVL1,ABCA5,Rest,0.3732394366197183
ELAVL1,ABCC1,Rest,0.3008474576271186
ELAVL1,ACACA,Rest,0.3829787234042553
ELAVL1,ADNP,Rest,0.31840796019900497
ELAVL1,ADNP2,Rest,0.3275862068965517
ELAVL1,AHR,Rest,0.33539731682146545
ELAVL1,AHSA1,Rest,0.3193548387096774
ELAVL1,AK3,Rest,0.31475409836065577
ELAVL1,AKAP17A,Rest,0.4027777777777778
ELAVL1,ANKRD11,Rest,0.29441624365482233
ELAVL1,ANKRD27,Rest,0.4358974358974359
ELAVL1,ANTKMT,Rest,0.2962962962962963
ELAVL1,APEX1,Rest,0.3560606060606061
ELAVL1,APMAP,Rest,0.3006993006993007
ELAVL1,APOBEC3B,Rest,0.24401913875598086
ELAVL1,ARHGAP15,Rest,0.3584905660377358
ELAVL1,ARHGAP30,Rest,0.3425559947299078
ELAVL1,ARID5A,Rest,0.2651162790697674
ELAVL1,ARIH2,Rest,0.3393939393939394
ELAVL1,ARL8B,Rest,0.4419642857142857
ELAVL1,ARMC8,Rest,0.3177570093457944
ELAVL1,ARRB1,Rest,0.2676056338028169
ELAVL1,ASXL1,Rest,0.37027027027027026
ELAVL1,ATAD5,Rest,0.3333333333333333
ELAVL1,ATF7IP,Rest,0.3559322033898305
ELAVL1,ATG12,Rest,0.2875318066157761
ELAVL1,ATM,Rest,0.3549618320610687
ELAVL1,B4GALT5,Rest,0.27205882352941174
ELAVL1,BCL9L,Rest,0.2825278810408922
ELAVL1,BCOR,Rest,0.29518072289156627
ELAVL1,BHLHE40,Rest,0.32819383259911894
ELAVL1,BRD7,Rest,0.40878378378378377
ELAVL1,BRMS1,Rest,0.3744292237442922
ELAVL1,BTAF1,Rest,0.34294385432473445
ELAVL1,BZW2,Rest,0.2978723404255319
ELAVL1,C16orf87,Rest,0.3067226890756303
ELAVL1,C6orf120,Rest,0.39267015706806285
ELAVL1,C8orf33,Rest,0.31767955801104975
ELAVL1,CAB39,Rest,0.31840796019900497
ELAVL1,CALM1,Rest,0.3392857142857143
ELAVL1,CAND1,Rest,0.30677966101694915
ELAVL1,CARM1,Rest,0.3786008230452675
ELAVL1,CARNMT1,Rest,0.3116883116883117
ELAVL1,CASP3,Rest,0.30337078651685395
ARNT,TADA2B,Rest,0.4418604651162791
ARNT,ELAVL1,Rest,0.4264036418816389
ARNT,NSD1,Rest,0.47050147492625366
ARNT,USP22,Rest,0.45454545454545453
ARNT,AACS,Rest,0.5365853658536586
ARNT,ABCA5,Rest,0.4647887323943662
ARNT,ABCC1,Rest,0.3855932203389831
ARNT,ACACA,Rest,0.44680851063829785
ARNT,ADNP,Rest,0.5472636815920398
ARNT,ADNP2,Rest,0.4942528735632184
ARNT,AHR,Rest,0.7027863777089783
