rotation,pc,tail,set_name,n_overlap,set_size,n_drawn,background_size,pvalue,overlap_genes,fdr
raw,1,top,IFN_ISG,4,11,40,2000,4.098735487895958e-05,"IFI6,MX1,OAS3,STAT2",0.0001639494195158383
raw,1,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,1,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,1,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,1,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,1,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,1,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,1,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,2,top,CHROMATIN_SAGA,1,6,40,2000,0.11429344847563662,TADA3,0.4571737939025465
raw,2,top,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,2,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,2,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,2,bottom,TCR_PROXIMAL,2,10,40,2000,0.01586187726067056,"ITK,PLCG1",0.06344750904268225
raw,2,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,2,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,2,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,3,top,IFN_ISG,1,11,40,2000,0.19971950756426926,STAT1,0.798878030257077
raw,3,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,3,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,3,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,3,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,3,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,3,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,3,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,4,top,TCR_PROXIMAL,1,10,40,2000,0.18330349746302335,FYN,0.7332139898520934
raw,4,top,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,4,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,4,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,4,bottom,TCR_PROXIMAL,1,10,40,2000,0.18330349746302335,LCK,0.7332139898520934
raw,4,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,4,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,4,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,5,top,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,5,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,5,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,5,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,5,bottom,TCR_PROXIMAL,1,10,40,2000,0.18330349746302335,PIK3CD,0.7332139898520934
raw,5,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,5,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,5,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,6,top,CHROMATIN_SAGA,1,6,40,2000,0.11429344847563662,KAT2B,0.4571737939025465
raw,6,top,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,6,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,6,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,6,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,6,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,6,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,6,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,7,top,IFN_ISG,3,11,40,2000,0.0010950409061414542,"IFI44L,IFI6,USP18",0.004380163624565817
raw,7,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,7,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,7,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,7,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,7,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,7,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,7,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,8,top,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,8,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,8,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,8,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,8,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,8,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,8,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,8,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,9,top,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,9,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,9,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,9,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,9,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,9,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,9,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,9,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,10,top,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,10,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,10,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,10,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,10,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,10,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,10,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,10,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,1,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,1,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
