rotation,pc,gene,loading,tail
raw,1,ARHGAP15,0.04374043105306047,top
raw,1,DRAP1,0.04586714256247796,top
raw,1,IRF9,0.04600411976255539,top
raw,1,OS9,0.045357436461304204,top
raw,1,MX1,0.04432977920553732,top
raw,1,ADA2,0.05199240220737775,top
raw,1,C4orf3,0.04394973612416051,top
raw,1,SH3BGRL,0.05151291473658486,top
raw,1,MYL12A,0.045571846444604616,top
raw,1,CD96,0.04395480090100463,top
raw,1,EPSTI1,0.04535678689257435,top
raw,1,GRN,0.04349688153926109,top
raw,1,IFI6,0.046164042416442154,top
raw,1,OAS3,0.04440686496197418,top
raw,1,SLFN5,0.049943250422208256,top
raw,1,XAF1,0.048772484025422974,top
raw,1,LAPTM5,0.04322402550948839,top
raw,1,BIN2,0.04232513205571142,top
raw,1,SAMD9L,0.05093821740524089,top
raw,1,RBL2,0.04363920182008451,top
raw,1,YPEL5,0.04203607889933674,top
raw,1,OPTN,0.052763855602332495,top
raw,1,XRN1,0.04825907598036201,top
raw,1,NUCB1,0.04617842483282004,top
raw,1,ITM2B,0.04929126120466659,top
raw,1,TPP1,0.04210852929724768,top
raw,1,GPSM3,0.04708326223736243,top
raw,1,CTSS,0.04426334011312083,top
raw,1,SELPLG,0.0443615173202306,top
raw,1,HERC6,0.042398683327065305,top
raw,1,IL10RA,0.04249631610071173,top
raw,1,MVP,0.043004555237514154,top
raw,1,TMEM140,0.04203048116726937,top
raw,1,STAT2,0.0451648479498295,top
raw,1,GABARAP,0.04674977920351924,top
raw,1,YPEL3,0.04728957925032628,top
raw,1,WDTC1,0.041828599634844775,top
raw,1,SUN2,0.047141206218715585,top
raw,1,SAMD9,0.046570794962037386,top
raw,1,LNPEP,0.043531764766095875,top
raw,1,BZW2,-0.05002226607017473,bottom
raw,1,EIF4A1,-0.053393538446247155,bottom
raw,1,LYAR,-0.05034940968454147,bottom
raw,1,HSPD1,-0.05718512825066515,bottom
raw,1,FABP5,-0.04733554253181703,bottom
raw,1,HNRNPAB,-0.04633991564316553,bottom
raw,1,SERBP1,-0.053519633021554325,bottom
raw,1,TFAM,-0.0453655552470476,bottom
raw,1,RUVBL1,-0.04898362504830876,bottom
raw,1,CYCS,-0.05531389567702305,bottom
raw,1,DCUN1D5,-0.05439701383170603,bottom
raw,1,TRAP1,-0.05375641796058812,bottom
raw,1,SRM,-0.04911202423859811,bottom
raw,1,TUFM,-0.053694663879102725,bottom
raw,1,NME1,-0.05241566701894635,bottom
raw,1,PA2G4,-0.04882798088444366,bottom
raw,1,TCP1,-0.04855198335674563,bottom
raw,1,EIF5B,-0.04980329911693929,bottom
raw,1,EIF3J,-0.04760254205483339,bottom
raw,1,HSP90AB1,-0.04883321991026426,bottom
raw,1,HSPE1,-0.050703603449579734,bottom
raw,1,RCC1,-0.04646377661113483,bottom
raw,1,TOMM5,-0.046868060287898555,bottom
raw,1,CCT4,-0.05131358761273378,bottom
raw,1,TIMM13,-0.04597715334908279,bottom
raw,1,YBX1,-0.04523477796303725,bottom
raw,1,TOMM22,-0.04734676096392761,bottom
raw,1,SSRP1,-0.04748566193603645,bottom
raw,1,UCK2,-0.04771061100181494,bottom
raw,1,IMP4,-0.0458122272193499,bottom
raw,1,DKC1,-0.0492515336075258,bottom
raw,1,NOLC1,-0.04667979041082073,bottom
raw,1,CCDC59,-0.045486994728171234,bottom
raw,1,CTPS1,-0.04572058926810136,bottom
raw,1,CCT6A,-0.04950492343929738,bottom
raw,1,IFRD2,-0.048191034139619185,bottom
raw,1,NUDC,-0.047003744789633685,bottom
raw,1,TOMM40,-0.04755524188797312,bottom
raw,1,TIMM23,-0.04711951078212647,bottom
raw,1,C1QBP,-0.0504072041684013,bottom
raw,2,TCN2,0.062336037739002495,top
raw,2,CREG1,0.07418507048778569,top
raw,2,CLU,0.05024172578039504,top
raw,2,RFX5,0.05398022231206085,top
raw,2,HHLA2,0.05362166733841039,top
raw,2,TADA3,0.05287385015650476,top
raw,2,RHOC,0.047866706131698224,top
raw,2,DPYSL2,0.0509966227607237,top
raw,2,BCAP29,0.048506994561217216,top
raw,2,BST2,0.06177176840013092,top
raw,2,HMGN3,0.056267209477770606,top
raw,2,TPM4,0.06098796462501693,top
raw,2,SCARB2,0.048573155468706275,top
raw,2,TWSG1,0.05610240563781225,top
raw,2,BMAL2,0.0596066981286176,top
raw,2,PCBD1,0.06461825794893745,top
raw,2,ARPC1B,0.05023022164954002,top
raw,2,AGPAT3,0.0489494567093651,top
raw,2,ACTN1,0.053297044831210755,top
raw,2,SRI,0.06076595430729012,top
raw,2,ARPC4,0.04884024812707514,top
raw,2,GPD2,0.05332246850482991,top
raw,2,KIF13B,0.04768378898735477,top
raw,2,MBD2,0.04816429091931868,top
raw,2,CYB5R3,0.05169575581298442,top
raw,2,CORO1C,0.047907912906187254,top
raw,2,REEP3,0.047842560767484096,top
raw,2,NENF,0.05247052276966484,top
raw,2,SGCB,0.05445776482706672,top
raw,2,YWHAE,0.05024993348844602,top
raw,2,SPATS2L,0.04873427581862944,top
raw,2,ARPC1A,0.04844286217904714,top
raw,2,GTF2A2,0.051198142910758956,top
raw,2,TNFRSF8,0.04872718663832811,top
raw,2,ARL3,0.0484298261290192,top
raw,2,CMAS,0.047789165782318316,top
raw,2,FKBP3,0.05416060649728922,top
raw,2,C9orf64,0.04968692154843914,top
raw,2,PLOD1,0.05021793971023773,top
raw,2,GGH,0.04845553197047215,top
raw,2,CD48,-0.04757290704957712,bottom
