rotation,pc,gene,loading,tail
raw,1,SELPLG,0.04947865947598635,top
raw,1,ARHGAP15,0.04543766323995142,top
raw,1,CD96,0.04514734416844872,top
raw,1,EVL,0.043633300793002046,top
raw,1,BIN2,0.046338486861810885,top
raw,1,DRAP1,0.04571284485522495,top
raw,1,GPSM3,0.04934728192751385,top
raw,1,IRF9,0.04675809445128959,top
raw,1,ICAM3,0.04368619918232053,top
raw,1,ADA2,0.052397221494205067,top
raw,1,IFI6,0.046845119223696455,top
raw,1,SH3BGRL,0.05180306895876363,top
raw,1,OS9,0.04546120411450569,top
raw,1,C4orf3,0.04662026521729161,top
raw,1,LAPTM5,0.04703880487110008,top
raw,1,SUN2,0.05035350793656322,top
raw,1,PNRC1,0.04676135887419298,top
raw,1,EPSTI1,0.04507668676015782,top
raw,1,OPTN,0.05500726777430841,top
raw,1,XAF1,0.05044408656927389,top
raw,1,SAMD9L,0.052377420258951556,top
raw,1,CD53,0.04612550153037033,top
raw,1,CD3E,0.044394676711516506,top
raw,1,TPP1,0.0489324661758604,top
raw,1,SLFN5,0.05502401629048109,top
raw,1,RBL2,0.04822540121788684,top
raw,1,PARP8,0.0442864480494391,top
raw,1,YPEL5,0.0443598803265692,top
raw,1,XRN1,0.05044186064642713,top
raw,1,ITM2B,0.05133831152810925,top
raw,1,HERC6,0.04353121220835181,top
raw,1,PCMTD1,0.043514422594383845,top
raw,1,CTSS,0.04609878237071143,top
raw,1,NUCB1,0.04536769304811136,top
raw,1,SAMD9,0.0484825905944661,top
raw,1,YPEL3,0.050142048510187526,top
raw,1,CDC42SE2,0.044141071938732686,top
raw,1,STAT2,0.047370322231727754,top
raw,1,WDTC1,0.044729065278047625,top
raw,1,GABARAP,0.048191114816795985,top
raw,1,CBX3,-0.04689994071650343,bottom
raw,1,GOT2,-0.05148549041866058,bottom
raw,1,BZW2,-0.05094841073812586,bottom
raw,1,HNRNPAB,-0.052268867716339616,bottom
raw,1,TRAP1,-0.05737865739796647,bottom
raw,1,AHSA1,-0.05093242278452596,bottom
raw,1,TTLL12,-0.04885931874152194,bottom
raw,1,NME1,-0.055707558590375864,bottom
raw,1,UCHL5,-0.04700341229657214,bottom
raw,1,HSPH1,-0.0485760766262537,bottom
raw,1,EIF4A1,-0.054532490725848384,bottom
raw,1,RRP1B,-0.04672576220062268,bottom
raw,1,LYAR,-0.05203213280320741,bottom
raw,1,CMSS1,-0.04668284179691673,bottom
raw,1,IMPDH2,-0.04985648418181143,bottom
raw,1,NUS1,-0.04580338964000181,bottom
raw,1,FABP5,-0.051038474931320604,bottom
raw,1,RUVBL1,-0.05229466050512649,bottom
raw,1,IFRD2,-0.05063596767688742,bottom
raw,1,TFAM,-0.04994558934927847,bottom
raw,1,SERBP1,-0.055653641037793855,bottom
raw,1,HSPD1,-0.06222563222739088,bottom
raw,1,TOMM5,-0.0517315155945748,bottom
raw,1,DCUN1D5,-0.05775812964291887,bottom
raw,1,SLC43A3,-0.047280533660431424,bottom
raw,1,NPM3,-0.04696797611880919,bottom
raw,1,LDHB,-0.04515194506179197,bottom
raw,1,CYCS,-0.058969567796918705,bottom
raw,1,HSP90AB1,-0.05345080910953698,bottom
raw,1,SLC16A1,-0.04515206561621926,bottom
raw,1,AHCY,-0.04992440555887606,bottom
raw,1,PA2G4,-0.051525031703843274,bottom
raw,1,TCP1,-0.05678109373637181,bottom
raw,1,HSPE1,-0.0575727056781582,bottom
raw,1,RCC1,-0.05072563037973635,bottom
raw,1,CDK4,-0.048991452665857325,bottom
raw,1,EIF5B,-0.05050259939260335,bottom
raw,1,CCT4,-0.055628730919044404,bottom
raw,1,TOMM22,-0.052757142655191824,bottom
raw,1,TUFM,-0.05714327911930964,bottom
raw,2,CLU,0.0561295443007508,top
raw,2,TCN2,0.050878325859270844,top
raw,2,BST2,0.054705475201086325,top
raw,2,CREG1,0.06515521274553465,top
raw,2,DBI,0.054872290985349424,top
raw,2,HMGN3,0.06034609139688436,top
raw,2,RAB8A,0.04922505108891669,top
raw,2,PCBD1,0.05258982335249609,top
raw,2,TPM4,0.06638153796971681,top
raw,2,RFX5,0.05076888235604669,top
raw,2,SRI,0.05197125539259323,top
raw,2,LAMP2,0.049194264905631085,top
raw,2,NQO1,0.05207611737449879,top
raw,2,COX8A,0.04926939689738086,top
raw,2,MGST3,0.052879663585895506,top
raw,2,TWSG1,0.05071678669007894,top
raw,2,ARPC5,0.05067961451697099,top
raw,2,MYL6,0.052230243037458844,top
raw,2,BMAL2,0.05904117518258022,top
raw,2,CDYL2,0.05785918762383368,top
raw,2,TPGS2,0.05094101300396435,top
raw,2,ACTN1,0.04898427503675443,top
raw,2,SLFN11,0.05093340986276338,top
raw,2,ARPC4,0.05626582813371659,top
raw,2,REEP3,0.05225878390350622,top
raw,2,MBD2,0.05375155528556994,top
raw,2,ARPC1B,0.053824700980349735,top
raw,2,CORO1C,0.05122525379177889,top
raw,2,GRAMD1B,0.049255605750890205,top
raw,2,CFL1,0.04954402641870229,top
raw,2,EFHD2,0.053529582061012805,top
raw,2,GGH,0.05459754240615254,top
raw,2,HDAC1,0.049061746824356635,top
raw,2,APOBEC3B,0.04937298251835283,top
raw,2,ANAPC11,0.05053944892983036,top
raw,2,ARL3,0.05637198520761788,top
raw,2,ACADVL,0.051537139872505154,top
raw,2,C12orf75,0.06117524480131593,top
