gene,raw_score,kd_gated_score,eb_score,raw_rank,kd_gated_rank,eb_rank,dropped_by_kd_gate,rank_shift_raw_to_eb
TADA2B,5919,5919.0,2.4462,1,1,2,False,-1.0
CD3E,5710,5710.0,0.894,2,2,309,False,-307.0
LAT,5535,5535.0,1.0338,3,3,244,False,-241.0
SENP5,5171,5171.0,2.4293,4,4,3,False,1.0
PLCG1,5032,5032.0,0.8673,5,5,320,False,-315.0
ZAP70,5021,5021.0,1.6235,6,6,88,False,-82.0
CD3D,4983,4983.0,0.1808,7,7,765,False,-758.0
LCP2,4981,4981.0,0.0642,8,8,851,False,-843.0
CD3G,4965,4965.0,0.6721,9,9,436,False,-427.0
VAV1,4897,4897.0,1.6585,10,10,84,False,-74.0
SGF29,4868,4868.0,2.5014,11,11,1,False,10.0
TAF6L,4638,4638.0,2.2398,12,12,9,False,3.0
UBXN1,4439,4439.0,1.9519,13,13,34,False,-21.0
SUPT7L,4330,4330.0,2.0979,14,14,20,False,-6.0
CD247,4329,4329.0,0.7524,15,15,389,False,-374.0
ELOF1,4257,4257.0,2.1497,16,16,15,False,1.0
ZBED3,4150,,,17,,,True,
MED12,4141,4141.0,2.2841,18,17,7,False,11.0
CCNC,4090,4090.0,2.295,19,18,6,False,13.0
SUPT20H,3947,3947.0,2.3913,20,19,4,False,16.0
MED19,3868,3868.0,1.7746,21,20,54,False,-33.0
ATAD5,3790,3790.0,2.1031,22,21,19,False,3.0
BRD8,3692,3692.0,1.6632,23,22,82,False,-59.0
BCAT2,3677,3677.0,0.642,24,23,454,False,-430.0
TADA1,3648,3648.0,2.3529,25,24,5,False,20.0
DENR,3636,3636.0,2.1046,26,25,18,False,8.0
PMVK,3527,3527.0,1.0435,27,26,241,False,-214.0
ATP2A2,3518,3518.0,2.2226,28,27,11,False,17.0
ZFPM1,3512,,,29,,,True,
BCL10,3455,3455.0,0.5132,30,28,531,False,-501.0
ITK,3392,3392.0,0.7082,31,29,412,False,-381.0
TAF13,3341,3341.0,2.1899,32,30,12,False,20.0
SMARCE1,3266,3266.0,2.1437,33,31,16,False,17.0
FKBP2,3254,,,34,,,True,
DOP1B,3240,3240.0,1.758,35,32,58,False,-23.0
PTPRC,3225,3225.0,1.4235,36,33,134,False,-98.0
ELOB,3051,3051.0,2.113,37,34,17,False,20.0
NFRKB,3019,3019.0,2.2652,38,35,8,False,30.0
LEO1,3014,3014.0,2.176,39,36,13,False,26.0
PGGT1B,3013,3013.0,1.192,40,37,192,False,-152.0
LRBA,2992,2992.0,0.3998,41,38,608,False,-567.0
CREBBP,2968,2968.0,2.0795,42,39,25,False,17.0
TFAM,2960,2960.0,1.5769,43,40,98,False,-55.0
NCKAP1L,2946,2946.0,1.7973,44,41,51,False,-7.0
ARNT,2946,2946.0,2.2238,44,41,10,False,34.0
TAF11,2929,2929.0,1.7508,46,43,59,False,-13.0
PTEN,2928,2928.0,1.7845,47,44,52,False,-5.0
KDM1A,2912,2912.0,2.1631,48,45,14,False,34.0
CCDC12,2905,593.0,0.7097,49,493,410,False,-361.0
UBE2L3,2873,2873.0,1.9879,50,46,32,False,18.0
MED15,2806,2806.0,2.0456,51,47,28,False,23.0
MED24,2794,2794.0,1.8071,52,48,49,False,3.0
AHR,2789,2789.0,2.0785,53,49,26,False,27.0
SMARCA5,2785,2785.0,1.558,54,50,103,False,-49.0
RPRD2,2754,2754.0,2.0415,55,51,30,False,25.0
ATF7IP2,2730,2730.0,1.8621,56,52,41,False,15.0
DNTTIP1,2724,2724.0,1.6602,57,53,83,False,-26.0
DOLPP1,2717,2717.0,1.7983,58,54,50,False,8.0
SMG1,2683,2683.0,2.0848,59,55,24,False,35.0
YTHDF2,2617,2617.0,1.88,60,56,39,False,21.0
FITM2,2606,2606.0,0.7747,61,57,373,False,-312.0
HOXC10,2592,,,62,,,True,
EIF1AX,2576,2576.0,1.2393,63,58,177,False,-114.0
TMED9,2576,2576.0,1.6645,63,58,81,False,-18.0
CARMIL2,2544,2544.0,1.4342,65,60,127,False,-62.0
EIF4G2,2529,2529.0,2.0851,66,61,23,False,43.0
SLC3A2,2491,2491.0,-0.0685,67,62,980,False,-913.0
CPSF6,2486,2486.0,2.0384,68,63,31,False,37.0
