gene,regulator_class,condition_specificity,n_signif_conditions,peak_condition
AAAS,condition-specific,,2,Stim8hr
AACS,global,0.571,3,Stim48hr
AAGAB,condition-specific,0.943,3,Stim8hr
AAK1,global,0.545,3,Stim8hr
AAMDC,condition-specific,1.0,1,Rest
AAR2,condition-specific,1.0,1,Rest
AASDH,condition-specific,0.6,3,Rest
AASDHPPT,condition-specific,0.857,3,Rest
AASS,condition-specific,1.0,1,Stim48hr
ABCA2,condition-specific,1.0,2,Stim8hr
ABCA3,condition-specific,1.0,1,Stim48hr
ABCA5,global,0.493,3,Stim48hr
ABCA7,condition-specific,1.0,2,Stim48hr
ABCB6,condition-specific,1.0,3,Rest
ABCB8,condition-specific,0.6,3,Stim48hr
ABCC1,global,0.494,3,Rest
ABCC4,condition-specific,1.0,3,Stim48hr
ABCC5,condition-specific,,3,Rest
ABCD2,condition-specific,0.737,2,Stim48hr
ABCD3,condition-specific,0.833,3,Rest
ABCD4,condition-specific,,2,Rest
ABCE1,condition-specific,1.0,1,Stim8hr
ABCF2,condition-specific,1.0,3,Stim48hr
ABHD10,global,0.5,3,Stim48hr
ABHD12,condition-specific,0.996,3,Rest
ABHD13,global,0.448,3,Rest
ABHD14A,condition-specific,0.935,3,Rest
ABHD14B,global,0.5,3,Rest
ABHD16A,global,0.571,3,Rest
ABHD17B,global,0.5,3,Stim8hr
ABHD18,global,0.333,3,Rest
ABHD2,condition-specific,0.842,3,Rest
ABHD3,condition-specific,1.0,3,Stim48hr
ABHD4,condition-specific,0.667,3,Stim8hr
ABHD5,condition-specific,0.75,3,Rest
ABHD6,condition-specific,0.87,3,Rest
ABHD8,condition-specific,1.0,2,Rest
ABI1,condition-specific,1.0,3,Stim48hr
ABI2,condition-specific,1.0,1,Stim48hr
ABI3,condition-specific,0.889,3,Rest
ABL2,condition-specific,0.9,3,Stim48hr
ABRACL,condition-specific,,3,Stim48hr
ABRAXAS1,global,0.556,3,Stim8hr
ABRAXAS2,condition-specific,1.0,3,Rest
ABTB1,global,0.571,3,Stim8hr
ABTB2,condition-specific,,1,Stim8hr
ABTB3,global,0.5,3,Stim8hr
ACAA1,global,0.5,3,Stim48hr
ACAA2,global,0.417,3,Stim8hr
ACACA,condition-specific,0.993,3,Stim48hr
ACAD10,global,0.533,3,Rest
ACAD11,global,0.513,3,Rest
ACAD8,global,0.5,3,Stim8hr
ACAD9,condition-specific,0.993,3,Stim48hr
ACADM,global,0.5,3,Stim8hr
ACADS,condition-specific,0.853,3,Stim48hr
ACADSB,global,0.5,3,Stim8hr
ACADVL,global,0.4,3,Stim8hr
ACAP1,condition-specific,0.667,3,Stim8hr
ACAP2,condition-specific,1.0,3,Stim8hr
ACAP3,condition-specific,0.8,3,Rest
ACAT1,condition-specific,1.0,3,Rest
ACAT2,global,0.385,3,Stim48hr
ACBD3,global,0.5,3,Stim8hr
ACBD5,global,0.417,3,Rest
ACBD6,global,0.429,3,Stim48hr
ACCS,condition-specific,1.0,2,Stim48hr
ACER3,condition-specific,0.6,3,Rest
ACLY,condition-specific,0.646,3,Stim48hr
ACO1,condition-specific,,3,Rest
ACOT13,global,0.333,3,Stim8hr
ACOT4,condition-specific,,1,Stim8hr
ACOT7,condition-specific,0.994,3,Stim48hr
ACOT8,global,0.5,3,Stim48hr
ACOT9,global,0.545,3,Stim48hr
ACOX1,global,0.368,3,Stim8hr
ACOX3,condition-specific,1.0,2,Stim48hr
ACP1,global,0.571,3,Stim48hr
ACP2,global,0.5,3,Stim48hr
ACP5,condition-specific,0.6,2,Rest
ACP6,global,0.438,3,Rest
ACSF2,condition-specific,,2,Rest
ACSF3,global,0.5,3,Stim48hr
ACSL1,condition-specific,0.845,3,Stim48hr
ACSL3,condition-specific,0.736,3,Stim48hr
ACSL4,global,0.5,3,Rest
ACSL5,condition-specific,0.667,3,Rest
ACSL6,condition-specific,1.0,1,Rest
ACSM3,condition-specific,1.0,1,Stim48hr
ACSS1,condition-specific,0.981,3,Rest
ACSS2,global,0.579,3,Stim8hr
ACTG1,condition-specific,0.667,3,Stim48hr
ACTMAP,condition-specific,1.0,1,Rest
ACTN1,condition-specific,1.0,2,Stim8hr
ACTN4,global,0.429,3,Rest
ACTR1A,condition-specific,1.0,3,Stim48hr
ACTR1B,global,0.333,3,Stim8hr
ACTR2,condition-specific,0.614,3,Stim48hr
ACTR3,global,0.586,3,Stim8hr
ACTR5,global,0.453,3,Stim8hr
ACTR8,global,0.382,3,Rest
ACVR1,global,0.5,3,Stim48hr
ACVR1B,condition-specific,,1,Stim8hr
ACVR1C,condition-specific,1.0,1,Stim48hr
ACVR2A,condition-specific,0.759,3,Stim8hr
ACVR2B,condition-specific,1.0,3,Stim48hr
ACY1,condition-specific,,3,Rest
ACYP1,global,0.375,3,Stim48hr
ACYP2,condition-specific,0.941,3,Stim48hr
ADA,condition-specific,,3,Stim8hr
ADA2,condition-specific,0.667,3,Rest
ADAM10,condition-specific,1.0,1,Stim8hr
ADAM15,condition-specific,0.833,3,Stim48hr
ADAM17,global,0.5,3,Stim8hr
ADAM19,global,0.411,3,Stim48hr
ADAM8,condition-specific,0.667,3,Rest
ADAM9,condition-specific,0.897,3,Rest
ADAMTS10,condition-specific,1.0,1,Rest
ADAMTS6,condition-specific,0.611,2,Stim48hr
ADAP1,condition-specific,,2,Stim48hr
ADAR,condition-specific,0.6,2,Stim8hr
ADARB1,global,0.5,3,Stim48hr
ADAT1,global,0.5,3,Stim8hr
ADAT2,global,0.571,3,Stim8hr
ADCK2,condition-specific,1.0,3,Rest
ADCK5,global,0.5,3,Stim48hr
ADCY1,condition-specific,1.0,1,Stim48hr
ADCY3,condition-specific,0.667,3,Rest
ADCY4,global,0.553,2,Rest
ADCY7,condition-specific,1.0,3,Stim8hr
ADCY9,condition-specific,1.0,3,Stim8hr
ADD1,condition-specific,0.6,3,Stim8hr
ADD2,condition-specific,1.0,1,Stim48hr
ADD3,condition-specific,1.0,1,Stim48hr
ADGRA3,condition-specific,1.0,2,Stim8hr
ADGRE5,condition-specific,1.0,3,Stim8hr
ADGRG1,global,0.474,3,Stim8hr
ADGRG5,global,0.422,3,Stim8hr
ADH5,condition-specific,1.0,3,Stim8hr
ADHFE1,condition-specific,1.0,1,Stim48hr
ADI1,global,0.5,3,Stim8hr
ADIPOR1,condition-specific,0.667,3,Stim48hr
ADIPOR2,global,0.5,3,Stim48hr
ADISSP,condition-specific,,2,Stim48hr
ADK,condition-specific,1.0,3,Rest
ADM5,condition-specific,1.0,1,Stim8hr
ADNP,global,0.43,3,Stim8hr
ADNP2,global,0.393,3,Stim48hr
ADO,condition-specific,0.932,2,Rest
ADORA2A,condition-specific,0.7,2,Stim8hr
ADPGK,condition-specific,1.0,3,Rest
ADPRH,condition-specific,0.889,3,Rest
ADPRM,condition-specific,0.975,3,Stim48hr
ADPRS,global,0.52,3,Rest
ADRB2,condition-specific,1.0,1,Rest
ADRM1,global,0.5,3,Stim8hr
ADSS2,condition-specific,0.853,2,Rest
AEBP2,condition-specific,0.887,3,Stim48hr
AEN,condition-specific,0.667,3,Rest
AFAP1,condition-specific,1.0,1,Stim8hr
AFDN,global,0.4,3,Rest
AFF4,condition-specific,0.75,3,Rest
AFTPH,condition-specific,0.667,3,Stim8hr
AGA,condition-specific,1.0,3,Stim8hr
AGAP2,global,0.417,3,Stim8hr
AGAP3,global,0.5,3,Rest
AGBL5,condition-specific,0.889,2,Rest
AGFG2,condition-specific,1.0,3,Stim48hr
AGGF1,global,0.476,3,Stim48hr
AGK,global,0.474,3,Stim8hr
AGL,condition-specific,,3,Rest
AGMAT,condition-specific,1.0,3,Stim48hr
AGO1,global,0.5,3,Stim48hr
AGO2,condition-specific,,1,Stim48hr
AGO3,condition-specific,0.75,3,Stim8hr
AGPAT1,condition-specific,0.902,3,Rest
AGPAT2,condition-specific,1.0,2,Stim48hr
AGPAT3,global,0.4,3,Stim8hr
AGPAT4,condition-specific,1.0,2,Rest
AGPAT5,condition-specific,1.0,3,Stim48hr
AGPS,global,0.5,3,Stim48hr
AGRN,global,0.556,2,Stim8hr
AGTPBP1,global,0.444,3,Rest
AGTRAP,condition-specific,1.0,3,Stim48hr
AHCYL1,global,0.545,3,Stim48hr
AHDC1,global,0.533,3,Rest
AHI1,condition-specific,1.0,3,Stim8hr
AHNAK,condition-specific,0.808,3,Rest
AHR,global,0.437,3,Rest
AHRR,global,0.5,2,Stim8hr
AHSA1,condition-specific,0.756,3,Rest
AIDA,global,0.5,3,Rest
AIF1,condition-specific,,3,Rest
AIFM1,condition-specific,0.914,3,Stim48hr
AIFM2,condition-specific,,3,Stim8hr
AIG1,condition-specific,,3,Rest
AIM2,condition-specific,1.0,3,Rest
AIMP1,global,0.533,3,Stim8hr
AIMP2,global,0.5,3,Rest
AIP,global,0.462,3,Stim8hr
AK3,global,0.546,3,Rest
AK4,global,0.5,3,Stim8hr
AK9,condition-specific,0.7,2,Stim48hr
AKAP1,global,0.467,3,Stim48hr
AKAP10,global,0.561,3,Stim8hr
AKAP11,condition-specific,0.926,3,Stim8hr
AKAP13,global,0.556,2,Stim8hr
AKAP17A,global,0.464,3,Stim48hr
AKAP5,condition-specific,,1,Stim48hr
AKAP8,condition-specific,,1,Stim8hr
AKAP8L,global,0.4,3,Rest
AKAP9,condition-specific,0.75,3,Rest
AKIP1,condition-specific,1.0,3,Stim8hr
AKIRIN1,global,0.486,3,Rest
AKIRIN2,global,0.468,3,Stim8hr
AKNA,condition-specific,,2,Rest
AKR1A1,condition-specific,0.98,3,Stim8hr
AKR1B1,global,0.5,3,Rest
AKR1C3,condition-specific,0.864,2,Rest
AKR7A2,condition-specific,0.6,3,Rest
AKT1,global,0.429,3,Stim8hr
AKT1S1,global,0.5,3,Stim8hr
AKT2,condition-specific,0.647,3,Rest
AKT3,global,0.333,3,Rest
AKTIP,condition-specific,0.85,3,Stim8hr
ALAD,condition-specific,1.0,1,Stim48hr
ALAS1,condition-specific,0.833,2,Stim8hr
ALCAM,condition-specific,,3,Rest
ALDH16A1,condition-specific,1.0,3,Stim48hr
ALDH18A1,global,0.567,3,Stim8hr
ALDH1B1,global,0.526,3,Stim48hr
ALDH3A2,condition-specific,1.0,3,Stim48hr
ALDH5A1,global,0.5,2,Stim48hr
ALDH9A1,global,0.5,3,Rest
ALDOC,condition-specific,,3,Stim8hr
ALG1,condition-specific,1.0,1,Stim8hr
ALG12,global,0.411,3,Stim8hr
ALG13,condition-specific,0.833,3,Stim8hr
ALG2,global,0.57,3,Stim8hr
ALG3,condition-specific,0.883,3,Stim8hr
ALG5,global,0.381,3,Rest
ALG6,global,0.454,3,Stim48hr
ALG8,global,0.561,3,Stim48hr
ALG9,condition-specific,0.923,3,Rest
ALKBH1,global,0.429,3,Stim8hr
ALKBH2,condition-specific,0.643,3,Rest
ALKBH3,condition-specific,1.0,3,Rest
ALKBH4,condition-specific,0.6,3,Rest
ALKBH5,global,0.438,3,Stim8hr
ALKBH7,global,0.5,3,Stim8hr
ALKBH8,global,0.429,3,Rest
ALMS1,global,0.467,3,Stim8hr
ALOX5,condition-specific,0.738,2,Rest
ALOX5AP,condition-specific,,3,Rest
ALPK1,condition-specific,1.0,1,Stim48hr
ALS2,condition-specific,0.953,3,Rest
AMBRA1,condition-specific,0.968,3,Stim48hr
AMD1,condition-specific,0.672,3,Stim48hr
AMDHD2,condition-specific,1.0,3,Stim48hr
AMER1,condition-specific,0.996,3,Rest
AMFR,global,0.333,3,Rest
AMIGO2,condition-specific,0.615,3,Stim8hr
AMMECR1,global,0.429,3,Stim8hr
AMN1,condition-specific,,3,Rest
AMPD2,global,0.5,3,Rest
AMPD3,condition-specific,0.667,3,Rest
AMZ2,condition-specific,1.0,3,Stim8hr
ANAPC10,condition-specific,1.0,1,Stim8hr
