perturbed_gene,condition,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
TADA2B,Stim8hr,POGLUT3,1.594,0.103,1.526,0.1,1.0,1.0
TADA2B,Stim8hr,CTSO,1.887,0.203,1.608,0.187,1.0,1.0
SENP5,Stim8hr,CNN2,1.248,0.149,1.141,0.142,1.0,1.0
TSPYL5,Stim8hr,IL4I1,2.107,0.295,1.541,0.252,1.0,1.0
TSPYL5,Stim8hr,EBI3,2.15,0.277,1.622,0.241,1.0,1.0
SENP5,Stim8hr,GRN,1.317,0.126,1.235,0.122,1.0,1.0
TADA2B,Stim8hr,EPOP,-1.0,0.105,-0.956,0.103,0.0,1.0
TSPYL5,Stim8hr,UBE2S,-1.146,0.147,-1.051,0.14,0.0,1.0
TADA2B,Stim8hr,HMSD,1.842,0.217,1.536,0.198,1.0,1.0
SENP5,Stim8hr,PPP2R5B,1.279,0.129,1.195,0.125,1.0,1.0
TADA2B,Stim8hr,TSTD1,1.065,0.08,1.037,0.079,1.0,1.0
TADA2B,Stim8hr,SAMD9,1.339,0.18,1.177,0.169,1.0,1.0
TADA2B,Stim8hr,AKT1S1,0.957,0.069,0.938,0.068,1.0,1.0
TADA2B,Stim8hr,PJA2,1.062,0.076,1.036,0.075,1.0,1.0
TADA2B,Stim8hr,KIFBP,1.087,0.103,1.041,0.1,1.0,1.0
TADA2B,Stim8hr,ATL1,2.568,0.384,1.581,0.301,1.0,1.0
SENP5,Stim8hr,TRAM2,2.192,0.243,1.753,0.217,1.0,1.0
SENP5,Stim8hr,NUCB2,2.054,0.202,1.75,0.187,1.0,1.0
SGF29,Stim48hr,OTUD1,-1.671,0.238,-1.348,0.213,0.0,1.0
SENP5,Stim8hr,DPYSL2,1.902,0.194,1.64,0.18,1.0,1.0
SENP5,Stim8hr,NCOA7,0.896,0.081,0.871,0.08,1.0,1.0
SGF29,Stim48hr,TUBB3,2.182,0.295,1.595,0.252,1.0,1.0
SENP5,Stim8hr,SUSD1,1.652,0.147,1.513,0.141,1.0,1.0
SENP5,Stim8hr,ZC2HC1A,2.04,0.222,1.689,0.202,1.0,1.0
SENP5,Stim8hr,MYL12A,0.878,0.075,0.857,0.074,1.0,1.0
SENP5,Stim8hr,ADA2,1.537,0.189,1.335,0.176,1.0,1.0
SENP5,Stim8hr,MYL6,0.999,0.073,0.976,0.073,1.0,1.0
SENP5,Stim8hr,WIPI1,1.895,0.205,1.608,0.189,1.0,1.0
SENP5,Stim8hr,SLC26A4,2.311,0.312,1.637,0.263,1.0,1.0
SENP5,Stim8hr,DNAAF9,1.998,0.294,1.463,0.251,1.0,1.0
SENP5,Stim8hr,AAMDC,1.665,0.215,1.393,0.197,1.0,1.0
SENP5,Stim8hr,CDC14B,2.113,0.303,1.522,0.257,1.0,1.0
TSPYL5,Stim8hr,ADA2,2.069,0.234,1.681,0.211,1.0,1.0
SENP5,Stim8hr,ACTN1,2.204,0.265,1.7,0.232,1.0,1.0
TADA2B,Stim8hr,TCAF1,1.417,0.144,1.303,0.138,1.0,1.0
TADA2B,Stim8hr,CPLANE1,1.128,0.119,1.064,0.116,1.0,1.0
TSPYL5,Stim8hr,ECSIT,-1.77,0.2,-1.514,0.185,0.0,1.0
TADA2B,Stim8hr,CORO1B,1.735,0.258,1.354,0.228,1.0,1.0
TADA2B,Stim8hr,VSIG10,2.028,0.259,1.58,0.228,1.0,1.0
TADA2B,Stim8hr,MSRA,1.136,0.133,1.057,0.128,1.0,1.0
TADA2B,Stim8hr,GCSAM,2.166,0.313,1.531,0.263,1.0,1.0
