perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
SGF29,Stim48hr,SAGA/chromatin,CD38,-1.167,0.202,-1.03,0.19,0.0,0.99
SGF29,Stim48hr,SAGA/chromatin,ACSM3,1.211,0.199,1.072,0.187,1.0,0.995
SGF29,Stim48hr,SAGA/chromatin,PRKAR2B,1.751,0.357,1.237,0.3,1.0,0.985
SGF29,Stim48hr,SAGA/chromatin,ITGA3,0.853,0.155,0.791,0.15,1.0,0.916
SGF29,Stim48hr,SAGA/chromatin,TMEM98,1.782,0.534,0.922,0.384,0.992,0.81
SGF29,Stim48hr,SAGA/chromatin,SPATA20,0.735,0.099,0.712,0.097,1.0,0.904
SGF29,Stim48hr,SAGA/chromatin,CYTH3,1.26,0.327,0.934,0.282,1.0,0.892
SGF29,Stim48hr,SAGA/chromatin,ADAM22,2.117,0.267,1.718,0.24,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,MMP25,-1.41,0.289,-1.108,0.256,0.0,0.979
SGF29,Stim48hr,SAGA/chromatin,IL32,-0.764,0.11,-0.735,0.107,0.0,0.919
SGF29,Stim48hr,SAGA/chromatin,ZBTB32,-1.382,0.111,-1.328,0.109,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CHDH,-1.745,0.431,-1.087,0.34,0.001,0.93
SGF29,Stim48hr,SAGA/chromatin,PHLDB1,2.707,0.313,2.05,0.273,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,BIRC3,-0.815,0.112,-0.782,0.11,0.0,0.963
SGF29,Stim48hr,SAGA/chromatin,SH2D2A,-0.678,0.077,-0.665,0.076,0.0,0.854
SGF29,Stim48hr,SAGA/chromatin,SH3YL1,0.745,0.093,0.724,0.091,1.0,0.936
SGF29,Stim48hr,SAGA/chromatin,RIPOR1,0.764,0.098,0.741,0.096,1.0,0.948
SGF29,Stim48hr,SAGA/chromatin,TG,2.004,0.475,1.153,0.361,0.999,0.942
SGF29,Stim48hr,SAGA/chromatin,COL9A2,1.288,0.351,0.919,0.296,0.999,0.87
SGF29,Stim48hr,SAGA/chromatin,H6PD,0.868,0.107,0.836,0.105,1.0,0.991
SGF29,Stim48hr,SAGA/chromatin,ARHGEF5,0.936,0.147,0.874,0.142,1.0,0.979
SGF29,Stim48hr,SAGA/chromatin,FNIP2,1.085,0.094,1.055,0.093,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,LY75,1.106,0.09,1.077,0.088,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,HHAT,1.331,0.361,0.934,0.302,0.999,0.876
SGF29,Stim48hr,SAGA/chromatin,IL17RB,-2.35,0.556,-1.169,0.392,0.001,0.932
SGF29,Stim48hr,SAGA/chromatin,USP13,0.685,0.092,0.667,0.091,1.0,0.815
SGF29,Stim48hr,SAGA/chromatin,SLC2A3,-0.774,0.117,-0.741,0.115,0.0,0.913
SGF29,Stim48hr,SAGA/chromatin,BCAT1,0.94,0.201,0.831,0.189,1.0,0.904
SGF29,Stim48hr,SAGA/chromatin,NCKAP1,1.184,0.122,1.129,0.119,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,DGAT2,1.614,0.226,1.384,0.209,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,NHERF2,1.331,0.316,1.003,0.275,1.0,0.936
SGF29,Stim48hr,SAGA/chromatin,TRAM2,0.822,0.183,0.741,0.173,1.0,0.816
SGF29,Stim48hr,SAGA/chromatin,PLPP1,-0.761,0.148,-0.71,0.143,0.0,0.81
SGF29,Stim48hr,SAGA/chromatin,PFN2,1.292,0.197,1.146,0.186,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,NDST1,1.057,0.29,0.83,0.257,0.999,0.83
SGF29,Stim48hr,SAGA/chromatin,ARHGAP10,0.928,0.169,0.849,0.162,1.0,0.949
SGF29,Stim48hr,SAGA/chromatin,NFATC3,-0.695,0.072,-0.684,0.071,0.0,0.918
SGF29,Stim48hr,SAGA/chromatin,ALPK1,1.766,0.231,1.503,0.213,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,ADD2,1.029,0.239,0.868,0.219,1.0,0.901
SGF29,Stim48hr,SAGA/chromatin,FSCN1,1.613,0.192,1.44,0.181,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,MCAM,1.617,0.397,1.068,0.322,1.0,0.933
SGF29,Stim48hr,SAGA/chromatin,FGFR1,-1.149,0.232,-0.977,0.214,0.0,0.967
SGF29,Stim48hr,SAGA/chromatin,CST7,-0.971,0.098,-0.942,0.097,0.0,1.0
