ensembl,symbol,pearson_z,empirical_p,n_co_measured,class,kd_cd4_abs,kd_rpe1_ontarget_abs,min_kd_rank,well_powered,rpe1_cells,donor_robust,program
ENSG00000087302,RTRAF,0.3661,0.0,7036,universal,10.647,1.654,0.7183,True,197,True,
ENSG00000116698,SMG7,0.3593,0.0,7036,universal,4.598,0.55,0.1726,False,143,True,
ENSG00000108349,CASC3,0.3456,0.0,7036,universal,15.973,0.542,0.4068,False,170,True,
ENSG00000174953,DHX36,0.344,0.0,7036,universal,9.572,1.035,0.6528,True,72,True,
ENSG00000166477,LEO1,0.3202,0.0,7036,universal,11.244,0.702,0.5763,True,31,True,
ENSG00000151461,UPF2,0.3075,0.0,7036,universal,6.92,0.466,0.3073,False,113,True,
ENSG00000086758,HUWE1,0.2924,0.0067,7036,universal,8.809,1.04,0.6029,True,77,True,
ENSG00000023734,STRAP,0.2749,0.0,7036,universal,13.623,1.633,0.8222,True,69,True,
ENSG00000171311,EXOSC1,0.2716,0.0,7036,universal,3.005,0.912,0.0395,False,48,True,
ENSG00000104064,GABPB1,0.2652,0.0,7036,universal,8.736,0.446,0.2768,False,48,True,
ENSG00000158526,TSR2,0.2589,0.0,7036,universal,3.631,0.637,0.0821,False,95,True,
ENSG00000106803,SEC61B,0.2562,0.0,7036,universal,4.683,1.862,0.1767,False,54,True,
ENSG00000130638,ATXN10,0.2546,0.0,7036,universal,6.531,1.299,0.4002,False,59,True,
ENSG00000170348,TMED10,0.2535,0.0,7036,universal,9.987,1.192,0.6767,True,175,True,
ENSG00000184634,MED12,0.2392,0.0067,7036,universal,8.98,,0.6133,False,60,True,
ENSG00000117868,ESYT2,0.2384,0.0,7036,universal,3.096,0.519,0.0426,False,50,False,
ENSG00000100413,POLR3H,0.2322,0.0033,7035,universal,6.122,0.658,0.3555,False,52,True,
ENSG00000114867,EIF4G1,0.2301,0.0,7036,universal,6.738,1.525,0.4252,False,77,True,
ENSG00000145414,NAF1,0.2274,0.01,7036,universal,4.848,0.553,0.2079,False,60,False,
ENSG00000140395,SKIC8,0.2251,0.0,7036,universal,5.333,0.714,0.2609,False,60,True,
ENSG00000101158,NELFCD,0.2236,0.0,7036,universal,8.583,0.752,0.5904,True,113,False,
ENSG00000004487,KDM1A,0.2225,0.0,7036,universal,15.428,1.041,0.7887,True,186,True,
ENSG00000174177,CTU2,0.2222,0.0067,7036,universal,7.54,0.361,0.1401,False,82,True,
ENSG00000008952,SEC62,0.2211,0.05,7036,intermediate,14.308,1.028,0.7808,True,25,True,
ENSG00000146918,NCAPG2,0.2209,0.02,7036,universal,5.292,0.607,0.2547,False,43,False,
ENSG00000163872,YEATS2,0.2199,0.1033,7036,intermediate,6.502,0.415,0.2305,False,72,True,
ENSG00000109920,FNBP4,0.2152,0.0,7036,universal,10.168,0.792,0.661,True,116,True,
ENSG00000079999,KEAP1,0.2151,0.0,7036,universal,10.08,0.61,0.4881,False,163,True,
ENSG00000156603,MED19,0.2125,0.0,7036,universal,7.033,0.537,0.3977,False,201,True,
ENSG00000213593,TMX2,0.212,0.0,7036,universal,7.202,0.828,0.4678,False,143,True,
ENSG00000171634,BPTF,0.2096,0.0,7036,universal,13.228,1.069,0.8034,True,101,True,
ENSG00000157106,SMG1,0.2082,0.0067,7036,universal,7.141,0.409,0.2136,False,48,False,
ENSG00000101413,RPRD1B,0.2073,0.0,7036,universal,3.295,0.351,0.0551,False,71,True,
ENSG00000079785,DDX1,0.2059,0.03,7036,universal,7.512,0.986,0.499,False,135,True,
ENSG00000144736,SHQ1,0.2058,0.0,7036,universal,1.236,0.332,0.0114,False,150,True,
ENSG00000176225,RTTN,0.2053,0.08,7036,intermediate,0.58,0.313,0.0021,False,102,True,
ENSG00000064995,TAF11,0.203,0.0033,7036,universal,21.054,0.53,0.3921,False,118,True,
ENSG00000103363,ELOB,0.2025,0.0,7036,universal,22.605,1.853,0.9563,True,134,True,
ENSG00000120686,UFM1,0.1995,0.01,7036,universal,24.904,0.791,0.6576,True,44,True,
ENSG00000105568,PPP2R1A,0.1995,0.0033,7035,universal,1.669,0.633,0.0156,False,296,False,
ENSG00000243725,TTC4,0.1983,0.0,7036,universal,4.563,0.545,0.1632,False,125,True,
ENSG00000187555,USP7,0.1981,0.0933,7036,intermediate,7.586,0.482,0.3288,False,88,True,
ENSG00000025796,SEC63,0.198,0.0067,7036,universal,9.077,0.953,0.6206,True,75,True,
ENSG00000138614,INTS14,0.1979,0.0,7036,universal,6.221,0.424,0.2475,False,355,True,
ENSG00000064102,INTS13,0.1968,0.0033,7036,universal,14.604,0.702,0.5774,True,305,True,
ENSG00000111642,CHD4,0.1968,0.0,7036,universal,7.613,1.27,0.5125,True,132,True,
ENSG00000121073,SLC35B1,0.1962,0.0233,7036,universal,6.712,0.767,0.4231,False,42,True,
ENSG00000111142,METAP2,0.1948,0.1467,7036,intermediate,11.459,1.141,0.7547,True,14,True,
ENSG00000170322,NFRKB,0.1928,0.0,7036,universal,16.022,0.291,0.0588,False,150,True,
ENSG00000128908,INO80,0.1903,0.0,7036,universal,4.954,0.405,0.2056,False,42,True,
ENSG00000197223,C1D,0.1899,0.0333,7036,universal,8.29,0.77,0.5644,True,53,True,
ENSG00000167447,SMG8,0.1893,0.0033,7036,universal,10.555,0.328,0.0915,False,89,True,
ENSG00000009307,CSDE1,0.1876,0.01,7036,universal,25.938,1.894,0.9638,True,57,True,
ENSG00000197780,TAF13,0.1869,0.0067,7036,universal,17.356,0.442,0.2678,False,186,True,
ENSG00000091140,DLD,0.1863,0.0067,7036,universal,6.321,0.607,0.3784,False,76,True,
ENSG00000113812,ACTR8,0.1858,0.0067,7036,universal,7.644,0.421,0.2429,False,88,True,
ENSG00000130165,ELOF1,0.1857,0.0,7036,universal,34.574,0.78,0.6508,True,154,True,
ENSG00000111605,CPSF6,0.1844,0.0,7036,universal,8.087,0.647,0.5254,True,27,True,
ENSG00000106355,LSM5,0.1838,0.0233,7036,universal,5.682,1.046,0.3025,False,85,False,
ENSG00000121350,PYROXD1,0.1806,0.0167,7036,universal,6.03,0.438,0.2633,False,136,False,
ENSG00000171824,EXOSC10,0.1792,0.0267,7036,universal,3.153,0.652,0.0468,False,24,False,
ENSG00000185838,GNB1L,0.1788,0.11,7036,intermediate,3.472,,0.0717,False,105,True,
ENSG00000116586,LAMTOR2,0.1778,0.04,7036,universal,12.726,0.93,0.7266,True,25,True,
ENSG00000165416,SUGT1,0.1772,0.08,7036,intermediate,3.842,0.977,0.0967,False,18,False,
ENSG00000033011,ALG1,0.1768,0.0233,7036,universal,3.519,0.421,0.0728,False,82,True,
ENSG00000143742,SRP9,0.1759,0.0133,7036,universal,6.025,1.653,0.3399,False,143,True,
ENSG00000111300,NAA25,0.1753,0.0567,7036,intermediate,3.377,0.507,0.0634,False,146,True,
ENSG00000104957,YJU2B,0.1753,0.0667,7036,intermediate,2.131,0.083,0.0034,False,114,False,
ENSG00000185298,CCDC137,0.1752,0.0733,7036,intermediate,3.731,0.709,0.0873,False,41,True,
