gene,regpower_eb_mean,n_signif_conditions,condition_specificity,peak_condition,observed_n_downstream,regulator_class
NCKAP1L,1.7973,3,0.602,Rest,2946,condition-specific
DOP1B,1.758,3,0.67,Stim48hr,3240,condition-specific
POGLUT3,1.7048,3,0.611,Stim8hr,2476,condition-specific
ZAP70,1.6235,3,0.662,Stim8hr,5021,condition-specific
TFAM,1.5769,3,0.719,Stim48hr,2960,condition-specific
LCK,1.5371,3,0.664,Stim8hr,2413,condition-specific
ATXN7L3,1.4848,3,0.65,Stim8hr,1941,condition-specific
EIF4G1,1.424,2,0.691,Stim8hr,1678,condition-specific
SIK3,1.4229,3,0.659,Stim48hr,1809,condition-specific
GPI,1.4191,3,0.601,Stim48hr,1779,condition-specific
CLCC1,1.3511,3,0.654,Stim48hr,1731,condition-specific
TP53INP2,1.3466,2,0.769,Stim48hr,1692,condition-specific
COX6C,1.3056,3,0.642,Stim8hr,1493,condition-specific
COG6,1.2778,2,0.634,Stim8hr,1161,condition-specific
CFAP298,1.2652,2,0.746,Stim8hr,1424,condition-specific
LAMTOR2,1.2545,3,0.674,Stim48hr,2062,condition-specific
RPTOR,1.2509,2,0.617,Stim8hr,1028,condition-specific
UVRAG,1.2407,2,0.694,Rest,1195,condition-specific
EIF1AX,1.2393,1,1.0,Stim8hr,2576,condition-specific
GLIPR2,1.2367,3,0.601,Stim8hr,1360,condition-specific
