measured_gene,n_upstream_regulators,n_positive_edges,n_negative_edges,mean_abs_theta,conditions_seen,top_upstream_regulators
CLU,6,6,0,2.009,Stim48hr; Stim8hr,TADA2B; SGF29; SUPT20H; TADA1; TSPYL5
HHLA2,6,6,0,1.79,Stim48hr; Stim8hr,TADA2B; SENP5; SGF29; TADA1; SUPT20H
TCN2,6,6,0,1.716,Stim48hr; Stim8hr,SENP5; TADA2B; SUPT20H; SGF29; TADA1
ALPK1,6,6,0,1.516,Stim48hr; Stim8hr,TADA2B; SUPT20H; SGF29; SENP5; TSPYL5
EBI3,6,6,0,1.476,Stim48hr; Stim8hr,TADA2B; TADA1; TSPYL5; SGF29; SUPT20H
SCARB2,6,6,0,1.4,Stim48hr; Stim8hr,TADA2B; SENP5; TSPYL5; TADA1; SUPT20H
IL4I1,6,6,0,1.365,Stim48hr; Stim8hr,TADA2B; TSPYL5; TADA1; SUPT20H; SENP5
HMSD,6,6,0,1.241,Stim48hr; Stim8hr,TADA2B; TADA1; SENP5; TSPYL5; SGF29
TDRD7,6,6,0,1.225,Stim48hr; Stim8hr,TADA2B; SENP5; TADA1; SGF29; SUPT20H
RHOC,6,6,0,1.184,Stim48hr; Stim8hr,TADA2B; TADA1; SUPT20H; TSPYL5; SENP5
CTSO,6,6,0,1.046,Stim48hr; Stim8hr,TADA2B; SENP5; SUPT20H; TSPYL5; TADA1
ZFYVE28,6,6,0,1.033,Stim48hr; Stim8hr,TADA2B; SUPT20H; TSPYL5; TADA1; SENP5
GPD2,6,6,0,0.77,Stim48hr; Stim8hr,TADA1; TADA2B; SGF29; TSPYL5; SENP5
NUCB2,5,5,0,1.644,Stim8hr,TADA2B; TADA1; SENP5; SUPT20H; TSPYL5
ADA2,5,5,0,1.642,Stim8hr,TADA2B; TSPYL5; TADA1; SUPT20H; SENP5
ACSL6,5,0,5,1.576,Stim48hr; Stim8hr,TADA2B; TADA1; SUPT20H; SGF29; TSPYL5
MUC1,5,5,0,1.551,Stim8hr,TADA2B; TADA1; TSPYL5; SENP5; SUPT20H
DPYSL2,5,5,0,1.396,Stim8hr,TADA2B; SENP5; SUPT20H; TSPYL5; TADA1
CD27,5,0,5,1.391,Stim48hr; Stim8hr,TADA2B; TADA1; SGF29; SUPT20H; TSPYL5
CCDC141,5,5,0,1.37,Stim8hr,SENP5; TADA2B; TADA1; SUPT20H; TSPYL5
AKAP5,5,5,0,1.35,Stim8hr,TADA2B; SUPT20H; TADA1; TSPYL5; SENP5
TRANK1,5,5,0,1.348,Stim8hr,TADA2B; SUPT20H; SENP5; TADA1; TSPYL5
IFI44L,5,5,0,1.338,Stim8hr,TADA2B; SUPT20H; TADA1; SENP5; TSPYL5
MAP1A,5,5,0,1.318,Stim48hr; Stim8hr,TADA2B; SENP5; TSPYL5; SUPT20H; SGF29
IL3,5,0,5,1.298,Stim48hr; Stim8hr,TADA2B; SGF29; TSPYL5; TADA1; SUPT20H
GCSAM,5,5,0,1.277,Stim48hr; Stim8hr,TADA2B; SGF29; SENP5; TSPYL5; SUPT20H
KIAA1217,5,5,0,1.275,Stim8hr,SUPT20H; TADA2B; SENP5; TSPYL5; TADA1
SUSD1,5,5,0,1.266,Stim8hr,SENP5; TADA2B; TADA1; SUPT20H; TSPYL5
CORO1B,5,5,0,1.247,Stim48hr; Stim8hr,SGF29; TADA2B; SENP5; TSPYL5; SUPT20H
SAMD9L,5,5,0,1.24,Stim8hr,TADA2B; SENP5; TADA1; SUPT20H; TSPYL5
