gene,regpower_eb_mean,n_signif_conditions,condition_specificity,peak_condition,observed_n_downstream,regulator_class
SGF29,2.5014,3,0.394,Stim48hr,4868,global
TADA2B,2.4462,3,0.373,Stim8hr,5919,global
SENP5,2.4293,3,0.458,Stim8hr,5171,global
SUPT20H,2.3913,3,0.382,Stim8hr,3947,global
TADA1,2.3529,3,0.376,Stim8hr,3648,global
CCNC,2.295,3,0.45,Stim48hr,4090,global
MED12,2.2841,3,0.459,Stim8hr,4141,global
NFRKB,2.2652,3,0.358,Rest,3019,global
TAF6L,2.2398,3,0.404,Stim8hr,4638,global
ARNT,2.2238,3,0.373,Stim48hr,2946,global
ATP2A2,2.2226,3,0.422,Rest,3518,global
TAF13,2.1899,3,0.438,Stim8hr,3341,global
LEO1,2.176,3,0.404,Rest,3014,global
KDM1A,2.1631,3,0.403,Stim48hr,2912,global
ELOF1,2.1497,3,0.362,Stim48hr,4257,global
SMARCE1,2.1437,3,0.452,Stim8hr,3266,global
ELOB,2.113,3,0.443,Stim8hr,3051,global
DENR,2.1046,3,0.518,Stim8hr,3636,global
ATAD5,2.1031,3,0.349,Rest,3790,global
SUPT7L,2.0979,3,0.397,Stim8hr,4330,global
