target_contrast_gene_name,culture_condition,n_downstream,n_total_de_genes,n_up_genes,n_down_genes,ontarget_effect_size,ontarget_significant,offtarget_flag,n_signif_conditions,xcond_reproducibility,robust_score,donor_corr_hits_mean,donor_corr_hits_min,donor_robust
TADA2B,Stim48hr,5259,5260,3626,1634,-17.33454831744466,True,False,3,0.791,7.673,0.8451168354079335,0.8266845700082824,True
TADA1,Stim8hr,3648,3649,2656,993,-8.596299314782403,True,False,3,0.807,7.411,0.7816227256711904,0.7725222723126571,True
ELAVL1,Stim8hr,2169,2170,808,1362,-51.408416087516684,True,False,3,0.925,7.394,0.7964183277618555,0.7480469689054807,True
ELAVL1,Rest,2163,2164,819,1345,-33.221043117333124,True,False,3,0.925,7.392,0.7964183277618555,0.7480469689054807,True
SUPT20H,Stim8hr,3947,3948,2723,1225,-18.60351722439309,True,False,3,0.778,7.362,0.8109203478342618,0.7785413910576663,True
NFRKB,Rest,3019,3020,1435,1585,-16.02150972625049,True,False,3,0.834,7.348,0.8345639980256337,0.8234993110493538,True
ELAVL1,Stim48hr,2007,2008,786,1222,-46.69939837157333,True,False,3,0.925,7.32,0.7964183277618555,0.7480469689054807,True
NFRKB,Stim8hr,2891,2892,1492,1400,-20.5438187996058,True,False,3,0.834,7.308,0.8345639980256337,0.8234993110493538,True
TADA1,Stim48hr,3113,3114,2202,912,-6.162167313403799,True,False,3,0.807,7.267,0.7816227256711904,0.7725222723126571,True
SGF29,Stim48hr,4868,4869,3242,1627,-10.869262510845196,True,False,3,0.708,7.251,0.8499779996754208,0.8187470864893297,True
TADA1,Rest,2943,2944,2071,873,-7.049823844477187,True,False,3,0.807,7.217,0.7816227256711904,0.7725222723126571,True
SUPT20H,Stim48hr,3311,3312,2174,1138,-20.173712607911632,True,False,3,0.778,7.206,0.8109203478342618,0.7785413910576663,True
NFRKB,Stim48hr,2519,2520,1229,1291,-15.23017454080511,True,False,3,0.834,7.182,0.8345639980256337,0.8234993110493538,True
SUPT20H,Rest,3071,3072,2260,812,-20.27250338401841,True,False,3,0.778,7.139,0.8109203478342618,0.7785413910576663,True
ARNT,Stim48hr,2946,2947,1344,1603,-19.14767371704712,True,False,3,0.787,7.138,0.8681507876085462,0.8372040290288618,True
SGF29,Stim8hr,4047,4048,2863,1185,-15.133699051276723,True,False,3,0.708,7.093,0.8499779996754208,0.8187470864893297,True
ARNT,Stim8hr,2642,2643,1509,1134,-14.1844449860405,True,False,3,0.787,7.04,0.8681507876085462,0.8372040290288618,True
TAF6L,Stim48hr,3485,3486,2404,1082,-5.318725007044031,True,False,3,0.726,7.039,0.8509574254017558,0.8348930824286863,True
NSD1,Stim48hr,2174,2175,1011,1164,-26.42526718583996,True,False,3,0.812,6.962,0.8003342667044792,0.7666719348918525,True
SGF29,Rest,3446,3447,2626,821,-13.582372254865152,True,False,3,0.708,6.956,0.8499779996754208,0.8187470864893297,True
ARNT,Rest,2319,2320,1186,1134,-17.67732833735752,True,False,3,0.787,6.924,0.8681507876085462,0.8372040290288618,True
DHX36,Rest,2326,2327,1316,1011,-9.57246537151692,True,False,3,0.777,6.888,0.814151859576619,0.7904788496647642,True
NSD1,Stim8hr,1993,1994,900,1094,-32.69340148924657,True,False,3,0.812,6.884,0.8003342667044792,0.7666719348918525,True
DHX36,Stim48hr,2298,2299,1574,725,-9.363145639568671,True,False,3,0.777,6.877,0.814151859576619,0.7904788496647642,True
USP22,Stim8hr,2380,2381,1667,714,-25.18999757044618,True,False,3,0.749,6.799,0.7993855045225224,0.7801252888033148,True
NSD1,Rest,1766,1767,675,1092,-30.263492295771883,True,False,3,0.812,6.774,0.8003342667044792,0.7666719348918525,True
KDM1A,Stim48hr,2912,2913,1894,1019,-18.57519939748311,True,False,3,0.693,6.752,0.8494166658177731,0.8423649206722434,True
EIF4G2,Stim8hr,2529,2530,1639,891,-10.718678286206217,True,False,3,0.723,6.751,0.6486365773350847,0.6390126297606576,True
DHX36,Stim8hr,1808,1809,1072,737,-11.840443401251044,True,False,3,0.777,6.664,0.814151859576619,0.7904788496647642,True
KIFAP3,Rest,1584,1585,1082,503,-9.195909570673328,True,False,3,0.793,6.606,0.7879089950740982,0.7676725709352463,True
